市区町村コード,市区町村名,値,調査年,出典
01100,北海道 札幌市,1973395,2020,国勢調査(2020)
01202,北海道 函館市,251084,2020,国勢調査(2020)
01203,北海道 小樽市,111299,2020,国勢調査(2020)
01204,北海道 旭川市,329306,2020,国勢調査(2020)
01205,北海道 室蘭市,82383,2020,国勢調査(2020)
01206,北海道 釧路市,165077,2020,国勢調査(2020)
01207,北海道 帯広市,166536,2020,国勢調査(2020)
01208,北海道 北見市,115480,2020,国勢調査(2020)
01209,北海道 夕張市,7334,2020,国勢調査(2020)
01210,北海道 岩見沢市,79306,2020,国勢調査(2020)
01211,北海道 網走市,35759,2020,国勢調査(2020)
01212,北海道 留萌市,20114,2020,国勢調査(2020)
01213,北海道 苫小牧市,170113,2020,国勢調査(2020)
01214,北海道 稚内市,33563,2020,国勢調査(2020)
01215,北海道 美唄市,20413,2020,国勢調査(2020)
01216,北海道 芦別市,12555,2020,国勢調査(2020)
01217,北海道 江別市,121056,2020,国勢調査(2020)
01218,北海道 赤平市,9698,2020,国勢調査(2020)
01219,北海道 紋別市,21215,2020,国勢調査(2020)
01220,北海道 士別市,17858,2020,国勢調査(2020)
01221,北海道 名寄市,27282,2020,国勢調査(2020)
01222,北海道 三笠市,8040,2020,国勢調査(2020)
01223,北海道 根室市,24636,2020,国勢調査(2020)
01224,北海道 千歳市,97950,2020,国勢調査(2020)
01225,北海道 滝川市,39490,2020,国勢調査(2020)
01226,北海道 砂川市,16486,2020,国勢調査(2020)
01227,北海道 歌志内市,2989,2020,国勢調査(2020)
01228,北海道 深川市,20039,2020,国勢調査(2020)
01229,北海道 富良野市,21131,2020,国勢調査(2020)
01230,北海道 登別市,46391,2020,国勢調査(2020)
01231,北海道 恵庭市,70331,2020,国勢調査(2020)
01233,北海道 伊達市,32826,2020,国勢調査(2020)
01234,北海道 北広島市,58171,2020,国勢調査(2020)
01235,北海道 石狩市,56869,2020,国勢調査(2020)
01236,北海道 北斗市,44302,2020,国勢調査(2020)
01303,北海道 当別町,15916,2020,国勢調査(2020)
01304,北海道 新篠津村,3044,2020,国勢調査(2020)
01331,北海道 松前町,6260,2020,国勢調査(2020)
01332,北海道 福島町,3794,2020,国勢調査(2020)
01333,北海道 知内町,4167,2020,国勢調査(2020)
01334,北海道 木古内町,3832,2020,国勢調査(2020)
01337,北海道 七飯町,27686,2020,国勢調査(2020)
01343,北海道 鹿部町,3760,2020,国勢調査(2020)
01345,北海道 森町,14338,2020,国勢調査(2020)
01346,北海道 八雲町,15826,2020,国勢調査(2020)
01347,北海道 長万部町,5109,2020,国勢調査(2020)
01361,北海道 江差町,7428,2020,国勢調査(2020)
01362,北海道 上ノ国町,4306,2020,国勢調査(2020)
01363,北海道 厚沢部町,3592,2020,国勢調査(2020)
01364,北海道 乙部町,3403,2020,国勢調査(2020)
01367,北海道 奥尻町,2410,2020,国勢調査(2020)
01370,北海道 今金町,5072,2020,国勢調査(2020)
01371,北海道 せたな町,7398,2020,国勢調査(2020)
01391,北海道 島牧村,1356,2020,国勢調査(2020)
01392,北海道 寿都町,2838,2020,国勢調査(2020)
01393,北海道 黒松内町,2791,2020,国勢調査(2020)
01394,北海道 蘭越町,4568,2020,国勢調査(2020)
01395,北海道 ニセコ町,5074,2020,国勢調査(2020)
01396,北海道 真狩村,2045,2020,国勢調査(2020)
01397,北海道 留寿都村,1911,2020,国勢調査(2020)
01398,北海道 喜茂別町,2156,2020,国勢調査(2020)
01399,北海道 京極町,2941,2020,国勢調査(2020)
01400,北海道 倶知安町,15129,2020,国勢調査(2020)
01401,北海道 共和町,5772,2020,国勢調査(2020)
01402,北海道 岩内町,11648,2020,国勢調査(2020)
01403,北海道 泊村,1569,2020,国勢調査(2020)
01404,北海道 神恵内村,870,2020,国勢調査(2020)
01405,北海道 積丹町,1831,2020,国勢調査(2020)
01406,北海道 古平町,2745,2020,国勢調査(2020)
01407,北海道 仁木町,3180,2020,国勢調査(2020)
01408,北海道 余市町,18000,2020,国勢調査(2020)
01409,北海道 赤井川村,1165,2020,国勢調査(2020)
01423,北海道 南幌町,7319,2020,国勢調査(2020)
01424,北海道 奈井江町,5120,2020,国勢調査(2020)
01425,北海道 上砂川町,2841,2020,国勢調査(2020)
01427,北海道 由仁町,4822,2020,国勢調査(2020)
01428,北海道 長沼町,10289,2020,国勢調査(2020)
01429,北海道 栗山町,11272,2020,国勢調査(2020)
01430,北海道 月形町,3691,2020,国勢調査(2020)
01431,北海道 浦臼町,1732,2020,国勢調査(2020)
01432,北海道 新十津川町,6484,2020,国勢調査(2020)
01433,北海道 妹背牛町,2693,2020,国勢調査(2020)
01434,北海道 秩父別町,2329,2020,国勢調査(2020)
