市区町村コード,市区町村名,値,調査年,出典
01100,北海道 札幌市,110212,2024,社会・人口統計体系(2024)
01202,北海道 函館市,7225,2024,社会・人口統計体系(2024)
01203,北海道 小樽市,2664,2024,社会・人口統計体系(2024)
01204,北海道 旭川市,8717,2024,社会・人口統計体系(2024)
01205,北海道 室蘭市,2460,2024,社会・人口統計体系(2024)
01206,北海道 釧路市,4589,2024,社会・人口統計体系(2024)
01207,北海道 帯広市,6208,2024,社会・人口統計体系(2024)
01208,北海道 北見市,3378,2024,社会・人口統計体系(2024)
01209,北海道 夕張市,129,2024,社会・人口統計体系(2024)
01210,北海道 岩見沢市,2208,2024,社会・人口統計体系(2024)
01211,北海道 網走市,1314,2024,社会・人口統計体系(2024)
01212,北海道 留萌市,707,2024,社会・人口統計体系(2024)
01213,北海道 苫小牧市,5292,2024,社会・人口統計体系(2024)
01214,北海道 稚内市,1068,2024,社会・人口統計体系(2024)
01215,北海道 美唄市,428,2024,社会・人口統計体系(2024)
01216,北海道 芦別市,260,2024,社会・人口統計体系(2024)
01217,北海道 江別市,4289,2024,社会・人口統計体系(2024)
01218,北海道 赤平市,184,2024,社会・人口統計体系(2024)
01219,北海道 紋別市,580,2024,社会・人口統計体系(2024)
01220,北海道 士別市,382,2024,社会・人口統計体系(2024)
01221,北海道 名寄市,992,2024,社会・人口統計体系(2024)
01222,北海道 三笠市,264,2024,社会・人口統計体系(2024)
01223,北海道 根室市,597,2024,社会・人口統計体系(2024)
01224,北海道 千歳市,5203,2024,社会・人口統計体系(2024)
01225,北海道 滝川市,1417,2024,社会・人口統計体系(2024)
01226,北海道 砂川市,533,2024,社会・人口統計体系(2024)
01227,北海道 歌志内市,67,2024,社会・人口統計体系(2024)
01228,北海道 深川市,543,2024,社会・人口統計体系(2024)
01229,北海道 富良野市,656,2024,社会・人口統計体系(2024)
01230,北海道 登別市,1343,2024,社会・人口統計体系(2024)
01231,北海道 恵庭市,3049,2024,社会・人口統計体系(2024)
01233,北海道 伊達市,921,2024,社会・人口統計体系(2024)
01234,北海道 北広島市,2065,2024,社会・人口統計体系(2024)
01235,北海道 石狩市,1569,2024,社会・人口統計体系(2024)
01236,北海道 北斗市,1126,2024,社会・人口統計体系(2024)
01303,北海道 当別町,577,2024,社会・人口統計体系(2024)
01304,北海道 新篠津村,67,2024,社会・人口統計体系(2024)
01331,北海道 松前町,155,2024,社会・人口統計体系(2024)
01332,北海道 福島町,93,2024,社会・人口統計体系(2024)
01333,北海道 知内町,76,2024,社会・人口統計体系(2024)
01334,北海道 木古内町,96,2024,社会・人口統計体系(2024)
01337,北海道 七飯町,823,2024,社会・人口統計体系(2024)
01343,北海道 鹿部町,80,2024,社会・人口統計体系(2024)
01345,北海道 森町,269,2024,社会・人口統計体系(2024)
01346,北海道 八雲町,559,2024,社会・人口統計体系(2024)
01347,北海道 長万部町,138,2024,社会・人口統計体系(2024)
01361,北海道 江差町,305,2024,社会・人口統計体系(2024)
01362,北海道 上ノ国町,90,2024,社会・人口統計体系(2024)
01363,北海道 厚沢部町,67,2024,社会・人口統計体系(2024)
01364,北海道 乙部町,60,2024,社会・人口統計体系(2024)
01367,北海道 奥尻町,129,2024,社会・人口統計体系(2024)
01370,北海道 今金町,110,2024,社会・人口統計体系(2024)
01371,北海道 せたな町,164,2024,社会・人口統計体系(2024)
01391,北海道 島牧村,23,2024,社会・人口統計体系(2024)
01392,北海道 寿都町,89,2024,社会・人口統計体系(2024)
01393,北海道 黒松内町,108,2024,社会・人口統計体系(2024)
01394,北海道 蘭越町,159,2024,社会・人口統計体系(2024)
01395,北海道 ニセコ町,257,2024,社会・人口統計体系(2024)
01396,北海道 真狩村,74,2024,社会・人口統計体系(2024)
01397,北海道 留寿都村,91,2024,社会・人口統計体系(2024)
01398,北海道 喜茂別町,80,2024,社会・人口統計体系(2024)
01399,北海道 京極町,108,2024,社会・人口統計体系(2024)
01400,北海道 倶知安町,992,2024,社会・人口統計体系(2024)
01401,北海道 共和町,233,2024,社会・人口統計体系(2024)
01402,北海道 岩内町,417,2024,社会・人口統計体系(2024)
01403,北海道 泊村,68,2024,社会・人口統計体系(2024)
01404,北海道 神恵内村,19,2024,社会・人口統計体系(2024)
01405,北海道 積丹町,47,2024,社会・人口統計体系(2024)
01406,北海道 古平町,48,2024,社会・人口統計体系(2024)
01407,北海道 仁木町,122,2024,社会・人口統計体系(2024)
01408,北海道 余市町,583,2024,社会・人口統計体系(2024)
01409,北海道 赤井川村,58,2024,社会・人口統計体系(2024)
01423,北海道 南幌町,423,2024,社会・人口統計体系(2024)
01424,北海道 奈井江町,143,2024,社会・人口統計体系(2024)
01425,北海道 上砂川町,64,2024,社会・人口統計体系(2024)
01427,北海道 由仁町,104,2024,社会・人口統計体系(2024)
01428,北海道 長沼町,249,2024,社会・人口統計体系(2024)
01429,北海道 栗山町,321,2024,社会・人口統計体系(2024)
01430,北海道 月形町,142,2024,社会・人口統計体系(2024)
01431,北海道 浦臼町,40,2024,社会・人口統計体系(2024)
01432,北海道 新十津川町,141,2024,社会・人口統計体系(2024)
01433,北海道 妹背牛町,53,2024,社会・人口統計体系(2024)
01434,北海道 秩父別町,66,2024,社会・人口統計体系(2024)
01436,北海道 雨竜町,39,2024,社会・人口統計体系(2024)
01437,北海道 北竜町,45,2024,社会・人口統計体系(2024)
01438,北海道 沼田町,107,2024,社会・人口統計体系(2024)
01452,北海道 鷹栖町,183,2024,社会・人口統計体系(2024)
01453,北海道 東神楽町,324,2024,社会・人口統計体系(2024)
01454,北海道 当麻町,172,2024,社会・人口統計体系(2024)
01455,北海道 比布町,84,2024,社会・人口統計体系(2024)
01456,北海道 愛別町,68,2024,社会・人口統計体系(2024)
01457,北海道 上川町,129,2024,社会・人口統計体系(2024)
01458,北海道 東川町,454,2024,社会・人口統計体系(2024)
01459,北海道 美瑛町,314,2024,社会・人口統計体系(2024)
01460,北海道 上富良野町,455,2024,社会・人口統計体系(2024)
01461,北海道 中富良野町,150,2024,社会・人口統計体系(2024)
01462,北海道 南富良野町,90,2024,社会・人口統計体系(2024)
01463,北海道 占冠村,97,2024,社会・人口統計体系(2024)
01464,北海道 和寒町,64,2024,社会・人口統計体系(2024)
01465,北海道 剣淵町,57,2024,社会・人口統計体系(2024)
01468,北海道 下川町,94,2024,社会・人口統計体系(2024)
01469,北海道 美深町,131,2024,社会・人口統計体系(2024)
01470,北海道 音威子府村,68,2024,社会・人口統計体系(2024)
01471,北海道 中川町,67,2024,社会・人口統計体系(2024)
01472,北海道 幌加内町,53,2024,社会・人口統計体系(2024)
01481,北海道 増毛町,75,2024,社会・人口統計体系(2024)
01482,北海道 小平町,47,2024,社会・人口統計体系(2024)
01483,北海道 苫前町,82,2024,社会・人口統計体系(2024)
01484,北海道 羽幌町,212,2024,社会・人口統計体系(2024)
01485,北海道 初山別村,32,2024,社会・人口統計体系(2024)
01486,北海道 遠別町,53,2024,社会・人口統計体系(2024)
01487,北海道 天塩町,106,2024,社会・人口統計体系(2024)
01511,北海道 猿払村,64,2024,社会・人口統計体系(2024)
01512,北海道 浜頓別町,112,2024,社会・人口統計体系(2024)
01513,北海道 中頓別町,65,2024,社会・人口統計体系(2024)
01514,北海道 枝幸町,178,2024,社会・人口統計体系(2024)
01516,北海道 豊富町,127,2024,社会・人口統計体系(2024)
01517,北海道 礼文町,108,2024,社会・人口統計体系(2024)
01518,北海道 利尻町,87,2024,社会・人口統計体系(2024)
01519,北海道 利尻富士町,114,2024,社会・人口統計体系(2024)
01520,北海道 幌延町,103,2024,社会・人口統計体系(2024)
01543,北海道 美幌町,457,2024,社会・人口統計体系(2024)
01544,北海道 津別町,90,2024,社会・人口統計体系(2024)
01545,北海道 斜里町,315,2024,社会・人口統計体系(2024)
01546,北海道 清里町,102,2024,社会・人口統計体系(2024)
01547,北海道 小清水町,112,2024,社会・人口統計体系(2024)
01549,北海道 訓子府町,112,2024,社会・人口統計体系(2024)
01550,北海道 置戸町,90,2024,社会・人口統計体系(2024)
01552,北海道 佐呂間町,104,2024,社会・人口統計体系(2024)
01555,北海道 遠軽町,607,2024,社会・人口統計体系(2024)
01559,北海道 湧別町,219,2024,社会・人口統計体系(2024)
01560,北海道 滝上町,66,2024,社会・人口統計体系(2024)
01561,北海道 興部町,141,2024,社会・人口統計体系(2024)
01562,北海道 西興部村,47,2024,社会・人口統計体系(2024)
01563,北海道 雄武町,116,2024,社会・人口統計体系(2024)
01564,北海道 大空町,159,2024,社会・人口統計体系(2024)
01571,北海道 豊浦町,128,2024,社会・人口統計体系(2024)
01575,北海道 壮瞥町,89,2024,社会・人口統計体系(2024)
01578,北海道 白老町,445,2024,社会・人口統計体系(2024)
01581,北海道 厚真町,159,2024,社会・人口統計体系(2024)
01584,北海道 洞爺湖町,272,2024,社会・人口統計体系(2024)
01585,北海道 安平町,343,2024,社会・人口統計体系(2024)
01586,北海道 むかわ町,232,2024,社会・人口統計体系(2024)
01601,北海道 日高町,411,2024,社会・人口統計体系(2024)
01602,北海道 平取町,159,2024,社会・人口統計体系(2024)
01604,北海道 新冠町,164,2024,社会・人口統計体系(2024)
01607,北海道 浦河町,514,2024,社会・人口統計体系(2024)
01608,北海道 様似町,76,2024,社会・人口統計体系(2024)
