市区町村コード,市区町村名,値,調査年,出典
01100,北海道 札幌市,967372,2020,国勢調査(2020)
01202,北海道 函館市,121455,2020,国勢調査(2020)
01203,北海道 小樽市,52615,2020,国勢調査(2020)
01204,北海道 旭川市,155625,2020,国勢調査(2020)
01205,北海道 室蘭市,41660,2020,国勢調査(2020)
01206,北海道 釧路市,80095,2020,国勢調査(2020)
01207,北海道 帯広市,79933,2020,国勢調査(2020)
01208,北海道 北見市,55024,2020,国勢調査(2020)
01209,北海道 夕張市,3790,2020,国勢調査(2020)
01210,北海道 岩見沢市,35476,2020,国勢調査(2020)
01211,北海道 網走市,17193,2020,国勢調査(2020)
01212,北海道 留萌市,9784,2020,国勢調査(2020)
01213,北海道 苫小牧市,79962,2020,国勢調査(2020)
01214,北海道 稚内市,15944,2020,国勢調査(2020)
01215,北海道 美唄市,9359,2020,国勢調査(2020)
01216,北海道 芦別市,6021,2020,国勢調査(2020)
01217,北海道 江別市,53869,2020,国勢調査(2020)
01218,北海道 赤平市,4463,2020,国勢調査(2020)
01219,北海道 紋別市,11192,2020,国勢調査(2020)
01220,北海道 士別市,8157,2020,国勢調査(2020)
01221,北海道 名寄市,12725,2020,国勢調査(2020)
01222,北海道 三笠市,3799,2020,国勢調査(2020)
01223,北海道 根室市,11133,2020,国勢調査(2020)
01224,北海道 千歳市,43635,2020,国勢調査(2020)
01225,北海道 滝川市,18636,2020,国勢調査(2020)
01226,北海道 砂川市,7572,2020,国勢調査(2020)
01227,北海道 歌志内市,1417,2020,国勢調査(2020)
01228,北海道 深川市,9161,2020,国勢調査(2020)
01229,北海道 富良野市,9502,2020,国勢調査(2020)
01230,北海道 登別市,20885,2020,国勢調査(2020)
01231,北海道 恵庭市,30172,2020,国勢調査(2020)
01233,北海道 伊達市,14746,2020,国勢調査(2020)
01234,北海道 北広島市,24548,2020,国勢調査(2020)
01235,北海道 石狩市,23038,2020,国勢調査(2020)
01236,北海道 北斗市,18261,2020,国勢調査(2020)
