市区町村コード,市区町村名,値,調査年,出典
01100,北海道 札幌市,0.1,2023,社会・人口統計体系(2023)
01202,北海道 函館市,2.4,2023,社会・人口統計体系(2023)
01203,北海道 小樽市,0.9,2023,社会・人口統計体系(2023)
01204,北海道 旭川市,3.2,2023,社会・人口統計体系(2023)
01205,北海道 室蘭市,3.6,2023,社会・人口統計体系(2023)
01206,北海道 釧路市,0.3,2023,社会・人口統計体系(2023)
01207,北海道 帯広市,1.9,2023,社会・人口統計体系(2023)
01208,北海道 北見市,2.8,2023,社会・人口統計体系(2023)
01209,北海道 夕張市,33.3,2023,社会・人口統計体系(2023)
01210,北海道 岩見沢市,5.4,2023,社会・人口統計体系(2023)
01211,北海道 網走市,5.0,2023,社会・人口統計体系(2023)
01212,北海道 留萌市,7.2,2023,社会・人口統計体系(2023)
01213,北海道 苫小牧市,0.4,2023,社会・人口統計体系(2023)
01214,北海道 稚内市,11.6,2023,社会・人口統計体系(2023)
01215,北海道 美唄市,10.3,2023,社会・人口統計体系(2023)
01216,北海道 芦別市,4.7,2023,社会・人口統計体系(2023)
01217,北海道 江別市,1.9,2023,社会・人口統計体系(2023)
01218,北海道 赤平市,4.9,2023,社会・人口統計体系(2023)
01219,北海道 紋別市,3.6,2023,社会・人口統計体系(2023)
01220,北海道 士別市,10.1,2023,社会・人口統計体系(2023)
01221,北海道 名寄市,10.9,2023,社会・人口統計体系(2023)
01222,北海道 三笠市,4.3,2023,社会・人口統計体系(2023)
01223,北海道 根室市,6.1,2023,社会・人口統計体系(2023)
01224,北海道 千歳市,1.1,2023,社会・人口統計体系(2023)
01225,北海道 滝川市,2.2,2023,社会・人口統計体系(2023)
01226,北海道 砂川市,3.3,2023,社会・人口統計体系(2023)
01227,北海道 歌志内市,0.7,2023,社会・人口統計体系(2023)
01228,北海道 深川市,11.5,2023,社会・人口統計体系(2023)
01229,北海道 富良野市,14.1,2023,社会・人口統計体系(2023)
01230,北海道 登別市,8.0,2023,社会・人口統計体系(2023)
01231,北海道 恵庭市,1.6,2023,社会・人口統計体系(2023)
01233,北海道 伊達市,6.4,2023,社会・人口統計体系(2023)
01234,北海道 北広島市,1.0,2023,社会・人口統計体系(2023)
01235,北海道 石狩市,1.4,2023,社会・人口統計体系(2023)
01236,北海道 北斗市,2.0,2023,社会・人口統計体系(2023)
01303,北海道 当別町,5.6,2023,社会・人口統計体系(2023)
01304,北海道 新篠津村,46.8,2023,社会・人口統計体系(2023)
01331,北海道 松前町,30.4,2023,社会・人口統計体系(2023)
01332,北海道 福島町,26.8,2023,社会・人口統計体系(2023)
01333,北海道 知内町,16.5,2023,社会・人口統計体系(2023)
01334,北海道 木古内町,5.1,2023,社会・人口統計体系(2023)
01337,北海道 七飯町,2.0,2023,社会・人口統計体系(2023)
01343,北海道 鹿部町,27.4,2023,社会・人口統計体系(2023)
01345,北海道 森町,5.6,2023,社会・人口統計体系(2023)
01346,北海道 八雲町,3.0,2023,社会・人口統計体系(2023)
01347,北海道 長万部町,7.7,2023,社会・人口統計体系(2023)
01361,北海道 江差町,20.8,2023,社会・人口統計体系(2023)
01362,北海道 上ノ国町,7.5,2023,社会・人口統計体系(2023)
01363,北海道 厚沢部町,79.3,2023,社会・人口統計体系(2023)
01364,北海道 乙部町,9.7,2023,社会・人口統計体系(2023)
01367,北海道 奥尻町,17.2,2023,社会・人口統計体系(2023)
01370,北海道 今金町,23.1,2023,社会・人口統計体系(2023)
01371,北海道 せたな町,6.8,2023,社会・人口統計体系(2023)
01391,北海道 島牧村,58.3,2023,社会・人口統計体系(2023)
01392,北海道 寿都町,28.9,2023,社会・人口統計体系(2023)
01393,北海道 黒松内町,14.8,2023,社会・人口統計体系(2023)
01394,北海道 蘭越町,29.3,2023,社会・人口統計体系(2023)
01395,北海道 ニセコ町,40.6,2023,社会・人口統計体系(2023)
01396,北海道 真狩村,21.2,2023,社会・人口統計体系(2023)
01397,北海道 留寿都村,16.3,2023,社会・人口統計体系(2023)
01398,北海道 喜茂別町,15.0,2023,社会・人口統計体系(2023)
01399,北海道 京極町,18.8,2023,社会・人口統計体系(2023)
01400,北海道 倶知安町,15.8,2023,社会・人口統計体系(2023)
01401,北海道 共和町,10.1,2023,社会・人口統計体系(2023)
01402,北海道 岩内町,4.7,2023,社会・人口統計体系(2023)
01403,北海道 泊村,1.5,2023,社会・人口統計体系(2023)
01404,北海道 神恵内村,44.1,2023,社会・人口統計体系(2023)
01405,北海道 積丹町,31.3,2023,社会・人口統計体系(2023)
01406,北海道 古平町,7.2,2023,社会・人口統計体系(2023)
01407,北海道 仁木町,56.3,2023,社会・人口統計体系(2023)
01408,北海道 余市町,4.2,2023,社会・人口統計体系(2023)
01409,北海道 赤井川村,34.8,2023,社会・人口統計体系(2023)
01423,北海道 南幌町,18.5,2023,社会・人口統計体系(2023)
01424,北海道 奈井江町,8.4,2023,社会・人口統計体系(2023)
01425,北海道 上砂川町,5.5,2023,社会・人口統計体系(2023)
01427,北海道 由仁町,22.6,2023,社会・人口統計体系(2023)
01428,北海道 長沼町,0.0,2023,社会・人口統計体系(2023)
01429,北海道 栗山町,12.0,2023,社会・人口統計体系(2023)
01430,北海道 月形町,42.7,2023,社会・人口統計体系(2023)
01431,北海道 浦臼町,29.5,2023,社会・人口統計体系(2023)
01432,北海道 新十津川町,21.2,2023,社会・人口統計体系(2023)
01433,北海道 妹背牛町,22.5,2023,社会・人口統計体系(2023)
01434,北海道 秩父別町,96.2,2023,社会・人口統計体系(2023)
01436,北海道 雨竜町,20.2,2023,社会・人口統計体系(2023)
01437,北海道 北竜町,32.4,2023,社会・人口統計体系(2023)
01438,北海道 沼田町,17.8,2023,社会・人口統計体系(2023)
01452,北海道 鷹栖町,20.6,2023,社会・人口統計体系(2023)
01453,北海道 東神楽町,10.7,2023,社会・人口統計体系(2023)
01454,北海道 当麻町,28.5,2023,社会・人口統計体系(2023)
01455,北海道 比布町,27.1,2023,社会・人口統計体系(2023)
01456,北海道 愛別町,27.0,2023,社会・人口統計体系(2023)
01457,北海道 上川町,4.6,2023,社会・人口統計体系(2023)
01458,北海道 東川町,29.3,2023,社会・人口統計体系(2023)
01459,北海道 美瑛町,22.0,2023,社会・人口統計体系(2023)
01460,北海道 上富良野町,13.4,2023,社会・人口統計体系(2023)
01461,北海道 中富良野町,36.3,2023,社会・人口統計体系(2023)
01462,北海道 南富良野町,18.4,2023,社会・人口統計体系(2023)
01463,北海道 占冠村,43.0,2023,社会・人口統計体系(2023)
01464,北海道 和寒町,29.7,2023,社会・人口統計体系(2023)
01465,北海道 剣淵町,26.4,2023,社会・人口統計体系(2023)
01468,北海道 下川町,14.7,2023,社会・人口統計体系(2023)
01469,北海道 美深町,15.6,2023,社会・人口統計体系(2023)
01470,北海道 音威子府村,9.2,2023,社会・人口統計体系(2023)
01471,北海道 中川町,16.4,2023,社会・人口統計体系(2023)
01472,北海道 幌加内町,31.6,2023,社会・人口統計体系(2023)
01481,北海道 増毛町,19.2,2023,社会・人口統計体系(2023)
01482,北海道 小平町,7.6,2023,社会・人口統計体系(2023)
01483,北海道 苫前町,13.8,2023,社会・人口統計体系(2023)
01484,北海道 羽幌町,6.0,2023,社会・人口統計体系(2023)
01485,北海道 初山別村,79.8,2023,社会・人口統計体系(2023)
01486,北海道 遠別町,12.7,2023,社会・人口統計体系(2023)
01487,北海道 天塩町,13.7,2023,社会・人口統計体系(2023)
01511,北海道 猿払村,17.7,2023,社会・人口統計体系(2023)
01512,北海道 浜頓別町,8.9,2023,社会・人口統計体系(2023)
01513,北海道 中頓別町,13.9,2023,社会・人口統計体系(2023)
01514,北海道 枝幸町,8.0,2023,社会・人口統計体系(2023)
01516,北海道 豊富町,17.6,2023,社会・人口統計体系(2023)
01517,北海道 礼文町,21.6,2023,社会・人口統計体系(2023)
01518,北海道 利尻町,4.8,2023,社会・人口統計体系(2023)
01519,北海道 利尻富士町,6.0,2023,社会・人口統計体系(2023)
01520,北海道 幌延町,21.4,2023,社会・人口統計体系(2023)
01543,北海道 美幌町,9.9,2023,社会・人口統計体系(2023)
01544,北海道 津別町,0.0,2023,社会・人口統計体系(2023)
01545,北海道 斜里町,16.5,2023,社会・人口統計体系(2023)
01546,北海道 清里町,28.4,2023,社会・人口統計体系(2023)
01547,北海道 小清水町,29.7,2023,社会・人口統計体系(2023)
01549,北海道 訓子府町,23.4,2023,社会・人口統計体系(2023)
01550,北海道 置戸町,24.5,2023,社会・人口統計体系(2023)
01552,北海道 佐呂間町,30.6,2023,社会・人口統計体系(2023)
01555,北海道 遠軽町,7.5,2023,社会・人口統計体系(2023)
