市区町村コード,市区町村名,値,調査年,出典
01100,北海道 札幌市,15953,2024,社会・人口統計体系(2024)
01202,北海道 函館市,908,2024,社会・人口統計体系(2024)
01203,北海道 小樽市,155,2024,社会・人口統計体系(2024)
01204,北海道 旭川市,1225,2024,社会・人口統計体系(2024)
01205,北海道 室蘭市,279,2024,社会・人口統計体系(2024)
01206,北海道 釧路市,403,2024,社会・人口統計体系(2024)
01207,北海道 帯広市,957,2024,社会・人口統計体系(2024)
01208,北海道 北見市,447,2024,社会・人口統計体系(2024)
01209,北海道 夕張市,1,2024,社会・人口統計体系(2024)
01210,北海道 岩見沢市,149,2024,社会・人口統計体系(2024)
01211,北海道 網走市,66,2024,社会・人口統計体系(2024)
01212,北海道 留萌市,101,2024,社会・人口統計体系(2024)
01213,北海道 苫小牧市,877,2024,社会・人口統計体系(2024)
01214,北海道 稚内市,38,2024,社会・人口統計体系(2024)
01215,北海道 美唄市,92,2024,社会・人口統計体系(2024)
01216,北海道 芦別市,16,2024,社会・人口統計体系(2024)
01217,北海道 江別市,535,2024,社会・人口統計体系(2024)
01218,北海道 赤平市,5,2024,社会・人口統計体系(2024)
01219,北海道 紋別市,81,2024,社会・人口統計体系(2024)
01220,北海道 士別市,32,2024,社会・人口統計体系(2024)
01221,北海道 名寄市,113,2024,社会・人口統計体系(2024)
01222,北海道 三笠市,5,2024,社会・人口統計体系(2024)
01223,北海道 根室市,38,2024,社会・人口統計体系(2024)
01224,北海道 千歳市,2348,2024,社会・人口統計体系(2024)
01225,北海道 滝川市,81,2024,社会・人口統計体系(2024)
01226,北海道 砂川市,74,2024,社会・人口統計体系(2024)
01227,北海道 歌志内市,2,2024,社会・人口統計体系(2024)
01228,北海道 深川市,42,2024,社会・人口統計体系(2024)
01229,北海道 富良野市,87,2024,社会・人口統計体系(2024)
01230,北海道 登別市,112,2024,社会・人口統計体系(2024)
01231,北海道 恵庭市,691,2024,社会・人口統計体系(2024)
01233,北海道 伊達市,49,2024,社会・人口統計体系(2024)
01234,北海道 北広島市,352,2024,社会・人口統計体系(2024)
01235,北海道 石狩市,243,2024,社会・人口統計体系(2024)
01236,北海道 北斗市,75,2024,社会・人口統計体系(2024)
02201,青森県 青森市,866,2024,社会・人口統計体系(2024)
02202,青森県 弘前市,650,2024,社会・人口統計体系(2024)
02203,青森県 八戸市,1001,2024,社会・人口統計体系(2024)
02204,青森県 黒石市,77,2024,社会・人口統計体系(2024)
02205,青森県 五所川原市,152,2024,社会・人口統計体系(2024)
02206,青森県 十和田市,274,2024,社会・人口統計体系(2024)
02207,青森県 三沢市,322,2024,社会・人口統計体系(2024)
02208,青森県 むつ市,172,2024,社会・人口統計体系(2024)
02209,青森県 つがる市,59,2024,社会・人口統計体系(2024)
02210,青森県 平川市,100,2024,社会・人口統計体系(2024)
03201,岩手県 盛岡市,2063,2024,社会・人口統計体系(2024)
03202,岩手県 宮古市,62,2024,社会・人口統計体系(2024)
03203,岩手県 大船渡市,68,2024,社会・人口統計体系(2024)
03205,岩手県 花巻市,340,2024,社会・人口統計体系(2024)
03206,岩手県 北上市,836,2024,社会・人口統計体系(2024)
03207,岩手県 久慈市,71,2024,社会・人口統計体系(2024)
03208,岩手県 遠野市,81,2024,社会・人口統計体系(2024)
03209,岩手県 一関市,324,2024,社会・人口統計体系(2024)
03210,岩手県 陸前高田市,41,2024,社会・人口統計体系(2024)
03211,岩手県 釜石市,42,2024,社会・人口統計体系(2024)
03213,岩手県 二戸市,52,2024,社会・人口統計体系(2024)
03214,岩手県 八幡平市,63,2024,社会・人口統計体系(2024)
03215,岩手県 奥州市,1012,2024,社会・人口統計体系(2024)
03216,岩手県 滝沢市,180,2024,社会・人口統計体系(2024)
