市区町村コード,市区町村名,値,調査年,出典
01100,北海道 札幌市,887222,2020,国勢調査(2020)
01202,北海道 函館市,114775,2020,国勢調査(2020)
01203,北海道 小樽市,47635,2020,国勢調査(2020)
01204,北海道 旭川市,153242,2020,国勢調査(2020)
01205,北海道 室蘭市,36394,2020,国勢調査(2020)
01206,北海道 釧路市,72076,2020,国勢調査(2020)
01207,北海道 帯広市,77222,2020,国勢調査(2020)
01208,北海道 北見市,51609,2020,国勢調査(2020)
01209,北海道 夕張市,3327,2020,国勢調査(2020)
01210,北海道 岩見沢市,35681,2020,国勢調査(2020)
01211,北海道 網走市,17301,2020,国勢調査(2020)
01212,北海道 留萌市,10054,2020,国勢調査(2020)
01213,北海道 苫小牧市,78970,2020,国勢調査(2020)
01214,北海道 稚内市,17290,2020,国勢調査(2020)
01215,北海道 美唄市,9615,2020,国勢調査(2020)
01216,北海道 芦別市,5621,2020,国勢調査(2020)
01217,北海道 江別市,55906,2020,国勢調査(2020)
01218,北海道 赤平市,4260,2020,国勢調査(2020)
01219,北海道 紋別市,10069,2020,国勢調査(2020)
01220,北海道 士別市,9035,2020,国勢調査(2020)
01221,北海道 名寄市,13979,2020,国勢調査(2020)
01222,北海道 三笠市,3405,2020,国勢調査(2020)
01223,北海道 根室市,13073,2020,国勢調査(2020)
01224,北海道 千歳市,49732,2020,国勢調査(2020)
01225,北海道 滝川市,18802,2020,国勢調査(2020)
01226,北海道 砂川市,7835,2020,国勢調査(2020)
01227,北海道 歌志内市,1220,2020,国勢調査(2020)
01228,北海道 深川市,9590,2020,国勢調査(2020)
01229,北海道 富良野市,11090,2020,国勢調査(2020)
01230,北海道 登別市,20994,2020,国勢調査(2020)
01231,北海道 恵庭市,33835,2020,国勢調査(2020)
01233,北海道 伊達市,15377,2020,国勢調査(2020)
01234,北海道 北広島市,26374,2020,国勢調査(2020)
01235,北海道 石狩市,24564,2020,国勢調査(2020)
01236,北海道 北斗市,21921,2020,国勢調査(2020)
01303,北海道 当別町,7924,2020,国勢調査(2020)
01304,北海道 新篠津村,1515,2020,国勢調査(2020)
01331,北海道 松前町,2784,2020,国勢調査(2020)
01332,北海道 福島町,1750,2020,国勢調査(2020)
01333,北海道 知内町,2185,2020,国勢調査(2020)
01334,北海道 木古内町,1693,2020,国勢調査(2020)
01337,北海道 七飯町,13055,2020,国勢調査(2020)
01343,北海道 鹿部町,1892,2020,国勢調査(2020)
01345,北海道 森町,7545,2020,国勢調査(2020)
01346,北海道 八雲町,8528,2020,国勢調査(2020)
01347,北海道 長万部町,2733,2020,国勢調査(2020)
01361,北海道 江差町,3719,2020,国勢調査(2020)
01362,北海道 上ノ国町,2082,2020,国勢調査(2020)
01363,北海道 厚沢部町,1962,2020,国勢調査(2020)
01364,北海道 乙部町,1607,2020,国勢調査(2020)
01367,北海道 奥尻町,1302,2020,国勢調査(2020)
01370,北海道 今金町,2581,2020,国勢調査(2020)
01371,北海道 せたな町,3803,2020,国勢調査(2020)
01391,北海道 島牧村,675,2020,国勢調査(2020)
01392,北海道 寿都町,1414,2020,国勢調査(2020)
01393,北海道 黒松内町,1357,2020,国勢調査(2020)
01394,北海道 蘭越町,2443,2020,国勢調査(2020)
01395,北海道 ニセコ町,2755,2020,国勢調査(2020)
01396,北海道 真狩村,1180,2020,国勢調査(2020)
01397,北海道 留寿都村,1257,2020,国勢調査(2020)
01398,北海道 喜茂別町,1100,2020,国勢調査(2020)
01399,北海道 京極町,1565,2020,国勢調査(2020)
01400,北海道 倶知安町,8281,2020,国勢調査(2020)
01401,北海道 共和町,3290,2020,国勢調査(2020)
01402,北海道 岩内町,5876,2020,国勢調査(2020)
01403,北海道 泊村,809,2020,国勢調査(2020)
01404,北海道 神恵内村,406,2020,国勢調査(2020)
01405,北海道 積丹町,971,2020,国勢調査(2020)
01406,北海道 古平町,1351,2020,国勢調査(2020)
01407,北海道 仁木町,1715,2020,国勢調査(2020)
01408,北海道 余市町,8570,2020,国勢調査(2020)
01409,北海道 赤井川村,731,2020,国勢調査(2020)
01423,北海道 南幌町,3882,2020,国勢調査(2020)
01424,北海道 奈井江町,2516,2020,国勢調査(2020)
01425,北海道 上砂川町,1166,2020,国勢調査(2020)
01427,北海道 由仁町,2661,2020,国勢調査(2020)
01428,北海道 長沼町,5595,2020,国勢調査(2020)
01429,北海道 栗山町,5697,2020,国勢調査(2020)
01430,北海道 月形町,1576,2020,国勢調査(2020)
01431,北海道 浦臼町,919,2020,国勢調査(2020)
01432,北海道 新十津川町,3152,2020,国勢調査(2020)
01433,北海道 妹背牛町,1370,2020,国勢調査(2020)
01434,北海道 秩父別町,1201,2020,国勢調査(2020)
01436,北海道 雨竜町,1198,2020,国勢調査(2020)
01437,北海道 北竜町,910,2020,国勢調査(2020)
01438,北海道 沼田町,1607,2020,国勢調査(2020)
01452,北海道 鷹栖町,3251,2020,国勢調査(2020)
01453,北海道 東神楽町,5001,2020,国勢調査(2020)
01454,北海道 当麻町,3294,2020,国勢調査(2020)
01455,北海道 比布町,1872,2020,国勢調査(2020)
01456,北海道 愛別町,1304,2020,国勢調査(2020)
01457,北海道 上川町,1845,2020,国勢調査(2020)
01458,北海道 東川町,4281,2020,国勢調査(2020)
01459,北海道 美瑛町,5071,2020,国勢調査(2020)
01460,北海道 上富良野町,5765,2020,国勢調査(2020)
01461,北海道 中富良野町,2538,2020,国勢調査(2020)
01462,北海道 南富良野町,1299,2020,国勢調査(2020)
01463,北海道 占冠村,880,2020,国勢調査(2020)
01464,北海道 和寒町,1696,2020,国勢調査(2020)
01465,北海道 剣淵町,1642,2020,国勢調査(2020)
01468,北海道 下川町,1586,2020,国勢調査(2020)
01469,北海道 美深町,2140,2020,国勢調査(2020)
01470,北海道 音威子府村,351,2020,国勢調査(2020)
01471,北海道 中川町,869,2020,国勢調査(2020)
