市区町村コード,市区町村名,値,調査年,出典
01100,北海道 札幌市,912841,2014,経済センサス‐基礎調査(2014)
01202,北海道 函館市,124215,2014,経済センサス‐基礎調査(2014)
01203,北海道 小樽市,56650,2014,経済センサス‐基礎調査(2014)
01204,北海道 旭川市,154350,2014,経済センサス‐基礎調査(2014)
01205,北海道 室蘭市,47415,2014,経済センサス‐基礎調査(2014)
01206,北海道 釧路市,80833,2014,経済センサス‐基礎調査(2014)
01207,北海道 帯広市,87443,2014,経済センサス‐基礎調査(2014)
01208,北海道 北見市,54546,2014,経済センサス‐基礎調査(2014)
01209,北海道 夕張市,3506,2014,経済センサス‐基礎調査(2014)
01210,北海道 岩見沢市,33637,2014,経済センサス‐基礎調査(2014)
01211,北海道 網走市,19230,2014,経済センサス‐基礎調査(2014)
01212,北海道 留萌市,11121,2014,経済センサス‐基礎調査(2014)
01213,北海道 苫小牧市,84199,2014,経済センサス‐基礎調査(2014)
01214,北海道 稚内市,18538,2014,経済センサス‐基礎調査(2014)
01215,北海道 美唄市,9647,2014,経済センサス‐基礎調査(2014)
01216,北海道 芦別市,5825,2014,経済センサス‐基礎調査(2014)
01217,北海道 江別市,36951,2014,経済センサス‐基礎調査(2014)
01218,北海道 赤平市,4940,2014,経済センサス‐基礎調査(2014)
01219,北海道 紋別市,11497,2014,経済センサス‐基礎調査(2014)
01220,北海道 士別市,9824,2014,経済センサス‐基礎調査(2014)
01221,北海道 名寄市,14255,2014,経済センサス‐基礎調査(2014)
01222,北海道 三笠市,4124,2014,経済センサス‐基礎調査(2014)
01223,北海道 根室市,13392,2014,経済センサス‐基礎調査(2014)
01224,北海道 千歳市,50231,2014,経済センサス‐基礎調査(2014)
01225,北海道 滝川市,17631,2014,経済センサス‐基礎調査(2014)
01226,北海道 砂川市,8907,2014,経済センサス‐基礎調査(2014)
01227,北海道 歌志内市,1270,2014,経済センサス‐基礎調査(2014)
01228,北海道 深川市,9270,2014,経済センサス‐基礎調査(2014)
01229,北海道 富良野市,10726,2014,経済センサス‐基礎調査(2014)
01230,北海道 登別市,15228,2014,経済センサス‐基礎調査(2014)
01231,北海道 恵庭市,25977,2014,経済センサス‐基礎調査(2014)
01233,北海道 伊達市,13378,2014,経済センサス‐基礎調査(2014)
01234,北海道 北広島市,25922,2014,経済センサス‐基礎調査(2014)
01235,北海道 石狩市,27990,2014,経済センサス‐基礎調査(2014)
01236,北海道 北斗市,17754,2014,経済センサス‐基礎調査(2014)
01303,北海道 当別町,6039,2014,経済センサス‐基礎調査(2014)
01304,北海道 新篠津村,1305,2014,経済センサス‐基礎調査(2014)
01331,北海道 松前町,2756,2014,経済センサス‐基礎調査(2014)
01332,北海道 福島町,1834,2014,経済センサス‐基礎調査(2014)
01333,北海道 知内町,1702,2014,経済センサス‐基礎調査(2014)
01334,北海道 木古内町,1808,2014,経済センサス‐基礎調査(2014)
01337,北海道 七飯町,8345,2014,経済センサス‐基礎調査(2014)
01343,北海道 鹿部町,1279,2014,経済センサス‐基礎調査(2014)
01345,北海道 森町,6887,2014,経済センサス‐基礎調査(2014)
01346,北海道 八雲町,7475,2014,経済センサス‐基礎調査(2014)
01347,北海道 長万部町,2198,2014,経済センサス‐基礎調査(2014)
01361,北海道 江差町,4152,2014,経済センサス‐基礎調査(2014)
01362,北海道 上ノ国町,1616,2014,経済センサス‐基礎調査(2014)
01363,北海道 厚沢部町,1832,2014,経済センサス‐基礎調査(2014)
01364,北海道 乙部町,1178,2014,経済センサス‐基礎調査(2014)
01367,北海道 奥尻町,1626,2014,経済センサス‐基礎調査(2014)
01370,北海道 今金町,2087,2014,経済センサス‐基礎調査(2014)
01371,北海道 せたな町,3224,2014,経済センサス‐基礎調査(2014)
01391,北海道 島牧村,515,2014,経済センサス‐基礎調査(2014)
01392,北海道 寿都町,1474,2014,経済センサス‐基礎調査(2014)
01393,北海道 黒松内町,1361,2014,経済センサス‐基礎調査(2014)
01394,北海道 蘭越町,1897,2014,経済センサス‐基礎調査(2014)
01395,北海道 ニセコ町,1999,2014,経済センサス‐基礎調査(2014)
01396,北海道 真狩村,717,2014,経済センサス‐基礎調査(2014)
01397,北海道 留寿都村,1242,2014,経済センサス‐基礎調査(2014)
01398,北海道 喜茂別町,934,2014,経済センサス‐基礎調査(2014)
01399,北海道 京極町,1726,2014,経済センサス‐基礎調査(2014)
01400,北海道 倶知安町,8262,2014,経済センサス‐基礎調査(2014)
01401,北海道 共和町,2157,2014,経済センサス‐基礎調査(2014)
01402,北海道 岩内町,5680,2014,経済センサス‐基礎調査(2014)
01403,北海道 泊村,1999,2014,経済センサス‐基礎調査(2014)
01404,北海道 神恵内村,386,2014,経済センサス‐基礎調査(2014)
01405,北海道 積丹町,797,2014,経済センサス‐基礎調査(2014)
01406,北海道 古平町,1149,2014,経済センサス‐基礎調査(2014)
01407,北海道 仁木町,1397,2014,経済センサス‐基礎調査(2014)
01408,北海道 余市町,7444,2014,経済センサス‐基礎調査(2014)
01409,北海道 赤井川村,642,2014,経済センサス‐基礎調査(2014)
01423,北海道 南幌町,2710,2014,経済センサス‐基礎調査(2014)
01424,北海道 奈井江町,2950,2014,経済センサス‐基礎調査(2014)
01425,北海道 上砂川町,934,2014,経済センサス‐基礎調査(2014)
01427,北海道 由仁町,2186,2014,経済センサス‐基礎調査(2014)
01428,北海道 長沼町,4519,2014,経済センサス‐基礎調査(2014)
01429,北海道 栗山町,5935,2014,経済センサス‐基礎調査(2014)
01430,北海道 月形町,1927,2014,経済センサス‐基礎調査(2014)
01431,北海道 浦臼町,739,2014,経済センサス‐基礎調査(2014)
01432,北海道 新十津川町,2136,2014,経済センサス‐基礎調査(2014)
01433,北海道 妹背牛町,1245,2014,経済センサス‐基礎調査(2014)
01434,北海道 秩父別町,1063,2014,経済センサス‐基礎調査(2014)
01436,北海道 雨竜町,1155,2014,経済センサス‐基礎調査(2014)
