市区町村コード,市区町村名,値,調査年,出典
01100,北海道 札幌市,811574,2014,経済センサス‐基礎調査(2014)
01202,北海道 函館市,105171,2014,経済センサス‐基礎調査(2014)
01203,北海道 小樽市,45594,2014,経済センサス‐基礎調査(2014)
01204,北海道 旭川市,131090,2014,経済センサス‐基礎調査(2014)
01205,北海道 室蘭市,34851,2014,経済センサス‐基礎調査(2014)
01206,北海道 釧路市,68109,2014,経済センサス‐基礎調査(2014)
01207,北海道 帯広市,73440,2014,経済センサス‐基礎調査(2014)
01208,北海道 北見市,44578,2014,経済センサス‐基礎調査(2014)
01209,北海道 夕張市,2494,2014,経済センサス‐基礎調査(2014)
01210,北海道 岩見沢市,27501,2014,経済センサス‐基礎調査(2014)
01211,北海道 網走市,15203,2014,経済センサス‐基礎調査(2014)
01212,北海道 留萌市,8911,2014,経済センサス‐基礎調査(2014)
01213,北海道 苫小牧市,63305,2014,経済センサス‐基礎調査(2014)
01214,北海道 稚内市,14212,2014,経済センサス‐基礎調査(2014)
01215,北海道 美唄市,7309,2014,経済センサス‐基礎調査(2014)
01216,北海道 芦別市,3994,2014,経済センサス‐基礎調査(2014)
01217,北海道 江別市,29798,2014,経済センサス‐基礎調査(2014)
01218,北海道 赤平市,3328,2014,経済センサス‐基礎調査(2014)
01219,北海道 紋別市,8217,2014,経済センサス‐基礎調査(2014)
01220,北海道 士別市,7649,2014,経済センサス‐基礎調査(2014)
01221,北海道 名寄市,12572,2014,経済センサス‐基礎調査(2014)
01222,北海道 三笠市,2873,2014,経済センサス‐基礎調査(2014)
01223,北海道 根室市,9610,2014,経済センサス‐基礎調査(2014)
01224,北海道 千歳市,40604,2014,経済センサス‐基礎調査(2014)
01225,北海道 滝川市,15029,2014,経済センサス‐基礎調査(2014)
01226,北海道 砂川市,6865,2014,経済センサス‐基礎調査(2014)
01227,北海道 歌志内市,1008,2014,経済センサス‐基礎調査(2014)
01228,北海道 深川市,7852,2014,経済センサス‐基礎調査(2014)
01229,北海道 富良野市,8909,2014,経済センサス‐基礎調査(2014)
