市区町村コード,市区町村名,値,調査年,出典
01100,北海道 札幌市,13,2021,社会教育調査(2021)
01202,北海道 函館市,1,2021,社会教育調査(2021)
01203,北海道 小樽市,1,2021,社会教育調査(2021)
01204,北海道 旭川市,5,2021,社会教育調査(2021)
01205,北海道 室蘭市,1,2021,社会教育調査(2021)
01206,北海道 釧路市,5,2021,社会教育調査(2021)
01207,北海道 帯広市,1,2021,社会教育調査(2021)
01208,北海道 北見市,8,2021,社会教育調査(2021)
01209,北海道 夕張市,1,2021,社会教育調査(2021)
01210,北海道 岩見沢市,2,2021,社会教育調査(2021)
01211,北海道 網走市,1,2021,社会教育調査(2021)
01212,北海道 留萌市,1,2021,社会教育調査(2021)
01213,北海道 苫小牧市,1,2021,社会教育調査(2021)
01214,北海道 稚内市,1,2021,社会教育調査(2021)
01215,北海道 美唄市,1,2021,社会教育調査(2021)
01216,北海道 芦別市,1,2021,社会教育調査(2021)
01217,北海道 江別市,4,2021,社会教育調査(2021)
01218,北海道 赤平市,1,2021,社会教育調査(2021)
01219,北海道 紋別市,1,2021,社会教育調査(2021)
01220,北海道 士別市,2,2021,社会教育調査(2021)
01221,北海道 名寄市,2,2021,社会教育調査(2021)
01222,北海道 三笠市,1,2021,社会教育調査(2021)
01223,北海道 根室市,1,2021,社会教育調査(2021)
01224,北海道 千歳市,1,2021,社会教育調査(2021)
01225,北海道 滝川市,1,2021,社会教育調査(2021)
01226,北海道 砂川市,1,2021,社会教育調査(2021)
01227,北海道 歌志内市,1,2021,社会教育調査(2021)
01228,北海道 深川市,1,2021,社会教育調査(2021)
01229,北海道 富良野市,1,2021,社会教育調査(2021)
01230,北海道 登別市,2,2021,社会教育調査(2021)
01231,北海道 恵庭市,3,2021,社会教育調査(2021)
01233,北海道 伊達市,2,2021,社会教育調査(2021)
01234,北海道 北広島市,5,2021,社会教育調査(2021)
01235,北海道 石狩市,4,2021,社会教育調査(2021)
01236,北海道 北斗市,2,2021,社会教育調査(2021)
01303,北海道 当別町,2,2021,社会教育調査(2021)
01304,北海道 新篠津村,0,2021,社会教育調査(2021)
01331,北海道 松前町,1,2021,社会教育調査(2021)
01332,北海道 福島町,0,2021,社会教育調査(2021)
01333,北海道 知内町,0,2021,社会教育調査(2021)
01334,北海道 木古内町,0,2021,社会教育調査(2021)
01337,北海道 七飯町,0,2021,社会教育調査(2021)
01343,北海道 鹿部町,0,2021,社会教育調査(2021)
01345,北海道 森町,1,2021,社会教育調査(2021)
01346,北海道 八雲町,1,2021,社会教育調査(2021)
01347,北海道 長万部町,1,2021,社会教育調査(2021)
01361,北海道 江差町,1,2021,社会教育調査(2021)
01362,北海道 上ノ国町,0,2021,社会教育調査(2021)
01363,北海道 厚沢部町,1,2021,社会教育調査(2021)
01364,北海道 乙部町,0,2021,社会教育調査(2021)
01367,北海道 奥尻町,0,2021,社会教育調査(2021)
01370,北海道 今金町,0,2021,社会教育調査(2021)
01371,北海道 せたな町,1,2021,社会教育調査(2021)
01391,北海道 島牧村,0,2021,社会教育調査(2021)
01392,北海道 寿都町,0,2021,社会教育調査(2021)
01393,北海道 黒松内町,0,2021,社会教育調査(2021)
01394,北海道 蘭越町,1,2021,社会教育調査(2021)
01395,北海道 ニセコ町,1,2021,社会教育調査(2021)
01396,北海道 真狩村,0,2021,社会教育調査(2021)
01397,北海道 留寿都村,0,2021,社会教育調査(2021)
01398,北海道 喜茂別町,0,2021,社会教育調査(2021)
01399,北海道 京極町,0,2021,社会教育調査(2021)
01400,北海道 倶知安町,0,2021,社会教育調査(2021)
01401,北海道 共和町,0,2021,社会教育調査(2021)
01402,北海道 岩内町,0,2021,社会教育調査(2021)
01403,北海道 泊村,0,2021,社会教育調査(2021)
01404,北海道 神恵内村,0,2021,社会教育調査(2021)
01405,北海道 積丹町,0,2021,社会教育調査(2021)
01406,北海道 古平町,0,2021,社会教育調査(2021)
01407,北海道 仁木町,0,2021,社会教育調査(2021)
01408,北海道 余市町,1,2021,社会教育調査(2021)
01409,北海道 赤井川村,0,2021,社会教育調査(2021)
01423,北海道 南幌町,0,2021,社会教育調査(2021)
01424,北海道 奈井江町,1,2021,社会教育調査(2021)
01425,北海道 上砂川町,0,2021,社会教育調査(2021)
01427,北海道 由仁町,1,2021,社会教育調査(2021)
01428,北海道 長沼町,1,2021,社会教育調査(2021)
01429,北海道 栗山町,1,2021,社会教育調査(2021)
01430,北海道 月形町,1,2021,社会教育調査(2021)
01431,北海道 浦臼町,0,2021,社会教育調査(2021)
01432,北海道 新十津川町,1,2021,社会教育調査(2021)
01433,北海道 妹背牛町,0,2021,社会教育調査(2021)
01434,北海道 秩父別町,1,2021,社会教育調査(2021)
01436,北海道 雨竜町,0,2021,社会教育調査(2021)
01437,北海道 北竜町,1,2021,社会教育調査(2021)
01438,北海道 沼田町,1,2021,社会教育調査(2021)
01452,北海道 鷹栖町,0,2021,社会教育調査(2021)
01453,北海道 東神楽町,1,2021,社会教育調査(2021)
01454,北海道 当麻町,1,2021,社会教育調査(2021)
01455,北海道 比布町,1,2021,社会教育調査(2021)
01456,北海道 愛別町,0,2021,社会教育調査(2021)
01457,北海道 上川町,0,2021,社会教育調査(2021)
01458,北海道 東川町,0,2021,社会教育調査(2021)
01459,北海道 美瑛町,1,2021,社会教育調査(2021)
01460,北海道 上富良野町,1,2021,社会教育調査(2021)
01461,北海道 中富良野町,1,2021,社会教育調査(2021)
01462,北海道 南富良野町,0,2021,社会教育調査(2021)
01463,北海道 占冠村,0,2021,社会教育調査(2021)
01464,北海道 和寒町,1,2021,社会教育調査(2021)
01465,北海道 剣淵町,1,2021,社会教育調査(2021)
01468,北海道 下川町,0,2021,社会教育調査(2021)
01469,北海道 美深町,0,2021,社会教育調査(2021)
01470,北海道 音威子府村,0,2021,社会教育調査(2021)
01471,北海道 中川町,0,2021,社会教育調査(2021)
01472,北海道 幌加内町,0,2021,社会教育調査(2021)
01481,北海道 増毛町,0,2021,社会教育調査(2021)
01482,北海道 小平町,0,2021,社会教育調査(2021)
01483,北海道 苫前町,0,2021,社会教育調査(2021)
01484,北海道 羽幌町,0,2021,社会教育調査(2021)
01485,北海道 初山別村,0,2021,社会教育調査(2021)
01486,北海道 遠別町,0,2021,社会教育調査(2021)
01487,北海道 天塩町,0,2021,社会教育調査(2021)
01511,北海道 猿払村,0,2021,社会教育調査(2021)
01512,北海道 浜頓別町,1,2021,社会教育調査(2021)
01513,北海道 中頓別町,0,2021,社会教育調査(2021)
01514,北海道 枝幸町,1,2021,社会教育調査(2021)
01516,北海道 豊富町,0,2021,社会教育調査(2021)
01517,北海道 礼文町,0,2021,社会教育調査(2021)
01518,北海道 利尻町,0,2021,社会教育調査(2021)
