市区町村コード,市区町村名,値,調査年,出典
01100,北海道 札幌市,321030,2020,国勢調査(2020)
01202,北海道 函館市,25207,2020,国勢調査(2020)
01203,北海道 小樽市,11443,2020,国勢調査(2020)
01204,北海道 旭川市,34875,2020,国勢調査(2020)
01205,北海道 室蘭市,7672,2020,国勢調査(2020)
01206,北海道 釧路市,13180,2020,国勢調査(2020)
01207,北海道 帯広市,16568,2020,国勢調査(2020)
01208,北海道 北見市,10565,2020,国勢調査(2020)
01209,北海道 夕張市,518,2020,国勢調査(2020)
01210,北海道 岩見沢市,7987,2020,国勢調査(2020)
01211,北海道 網走市,3467,2020,国勢調査(2020)
01212,北海道 留萌市,1697,2020,国勢調査(2020)
01213,北海道 苫小牧市,14300,2020,国勢調査(2020)
01214,北海道 稚内市,2672,2020,国勢調査(2020)
01215,北海道 美唄市,1503,2020,国勢調査(2020)
01216,北海道 芦別市,776,2020,国勢調査(2020)
01217,北海道 江別市,17242,2020,国勢調査(2020)
01218,北海道 赤平市,504,2020,国勢調査(2020)
01219,北海道 紋別市,1863,2020,国勢調査(2020)
01220,北海道 士別市,1214,2020,国勢調査(2020)
01221,北海道 名寄市,2241,2020,国勢調査(2020)
01222,北海道 三笠市,550,2020,国勢調査(2020)
01223,北海道 根室市,1586,2020,国勢調査(2020)
01224,北海道 千歳市,10198,2020,国勢調査(2020)
01225,北海道 滝川市,3500,2020,国勢調査(2020)
01226,北海道 砂川市,1317,2020,国勢調査(2020)
01227,北海道 歌志内市,138,2020,国勢調査(2020)
01228,北海道 深川市,1727,2020,国勢調査(2020)
01229,北海道 富良野市,1811,2020,国勢調査(2020)
01230,北海道 登別市,3721,2020,国勢調査(2020)
01231,北海道 恵庭市,8117,2020,国勢調査(2020)
01233,北海道 伊達市,3286,2020,国勢調査(2020)
01234,北海道 北広島市,8413,2020,国勢調査(2020)
01235,北海道 石狩市,5134,2020,国勢調査(2020)
01236,北海道 北斗市,2897,2020,国勢調査(2020)
01303,北海道 当別町,1781,2020,国勢調査(2020)
01304,北海道 新篠津村,186,2020,国勢調査(2020)
01331,北海道 松前町,253,2020,国勢調査(2020)
01332,北海道 福島町,126,2020,国勢調査(2020)
01333,北海道 知内町,171,2020,国勢調査(2020)
01334,北海道 木古内町,213,2020,国勢調査(2020)
01337,北海道 七飯町,2523,2020,国勢調査(2020)
01343,北海道 鹿部町,265,2020,国勢調査(2020)
01345,北海道 森町,710,2020,国勢調査(2020)
01346,北海道 八雲町,1117,2020,国勢調査(2020)
01347,北海道 長万部町,325,2020,国勢調査(2020)
01361,北海道 江差町,627,2020,国勢調査(2020)
01362,北海道 上ノ国町,195,2020,国勢調査(2020)
01363,北海道 厚沢部町,259,2020,国勢調査(2020)
01364,北海道 乙部町,171,2020,国勢調査(2020)
01367,北海道 奥尻町,207,2020,国勢調査(2020)
01370,北海道 今金町,366,2020,国勢調査(2020)
01371,北海道 せたな町,470,2020,国勢調査(2020)
01391,北海道 島牧村,85,2020,国勢調査(2020)
01392,北海道 寿都町,252,2020,国勢調査(2020)
01393,北海道 黒松内町,314,2020,国勢調査(2020)
01394,北海道 蘭越町,405,2020,国勢調査(2020)
01395,北海道 ニセコ町,792,2020,国勢調査(2020)
01396,北海道 真狩村,207,2020,国勢調査(2020)
01397,北海道 留寿都村,251,2020,国勢調査(2020)
01398,北海道 喜茂別町,235,2020,国勢調査(2020)
01399,北海道 京極町,232,2020,国勢調査(2020)
01400,北海道 倶知安町,2158,2020,国勢調査(2020)
01401,北海道 共和町,591,2020,国勢調査(2020)
01402,北海道 岩内町,859,2020,国勢調査(2020)
01403,北海道 泊村,124,2020,国勢調査(2020)
01404,北海道 神恵内村,65,2020,国勢調査(2020)
01405,北海道 積丹町,118,2020,国勢調査(2020)
01406,北海道 古平町,128,2020,国勢調査(2020)
01407,北海道 仁木町,309,2020,国勢調査(2020)
01408,北海道 余市町,1769,2020,国勢調査(2020)
01409,北海道 赤井川村,196,2020,国勢調査(2020)
01423,北海道 南幌町,673,2020,国勢調査(2020)
01424,北海道 奈井江町,355,2020,国勢調査(2020)
01425,北海道 上砂川町,132,2020,国勢調査(2020)
01427,北海道 由仁町,341,2020,国勢調査(2020)
01428,北海道 長沼町,976,2020,国勢調査(2020)
01429,北海道 栗山町,946,2020,国勢調査(2020)
01430,北海道 月形町,290,2020,国勢調査(2020)
01431,北海道 浦臼町,108,2020,国勢調査(2020)
01432,北海道 新十津川町,483,2020,国勢調査(2020)
01433,北海道 妹背牛町,150,2020,国勢調査(2020)
01434,北海道 秩父別町,152,2020,国勢調査(2020)
01436,北海道 雨竜町,126,2020,国勢調査(2020)
01437,北海道 北竜町,124,2020,国勢調査(2020)
01438,北海道 沼田町,256,2020,国勢調査(2020)
01452,北海道 鷹栖町,550,2020,国勢調査(2020)
01453,北海道 東神楽町,1055,2020,国勢調査(2020)
01454,北海道 当麻町,459,2020,国勢調査(2020)
01455,北海道 比布町,279,2020,国勢調査(2020)
01456,北海道 愛別町,164,2020,国勢調査(2020)
01457,北海道 上川町,353,2020,国勢調査(2020)
01458,北海道 東川町,1017,2020,国勢調査(2020)
01459,北海道 美瑛町,973,2020,国勢調査(2020)
01460,北海道 上富良野町,652,2020,国勢調査(2020)
01461,北海道 中富良野町,335,2020,国勢調査(2020)
01462,北海道 南富良野町,242,2020,国勢調査(2020)
01463,北海道 占冠村,281,2020,国勢調査(2020)
01464,北海道 和寒町,195,2020,国勢調査(2020)
01465,北海道 剣淵町,173,2020,国勢調査(2020)
01468,北海道 下川町,297,2020,国勢調査(2020)
01469,北海道 美深町,386,2020,国勢調査(2020)
01470,北海道 音威子府村,90,2020,国勢調査(2020)
01471,北海道 中川町,160,2020,国勢調査(2020)
01472,北海道 幌加内町,123,2020,国勢調査(2020)
01481,北海道 増毛町,238,2020,国勢調査(2020)
01482,北海道 小平町,219,2020,国勢調査(2020)
01483,北海道 苫前町,196,2020,国勢調査(2020)
01484,北海道 羽幌町,497,2020,国勢調査(2020)
01485,北海道 初山別村,69,2020,国勢調査(2020)
01486,北海道 遠別町,162,2020,国勢調査(2020)
01487,北海道 天塩町,266,2020,国勢調査(2020)
01511,北海道 猿払村,246,2020,国勢調査(2020)
01512,北海道 浜頓別町,297,2020,国勢調査(2020)
01513,北海道 中頓別町,166,2020,国勢調査(2020)
01514,北海道 枝幸町,486,2020,国勢調査(2020)
01516,北海道 豊富町,339,2020,国勢調査(2020)
01517,北海道 礼文町,188,2020,国勢調査(2020)
01518,北海道 利尻町,193,2020,国勢調査(2020)
01519,北海道 利尻富士町,152,2020,国勢調査(2020)
01520,北海道 幌延町,316,2020,国勢調査(2020)
01543,北海道 美幌町,1248,2020,国勢調査(2020)
01544,北海道 津別町,341,2020,国勢調査(2020)
01545,北海道 斜里町,1016,2020,国勢調査(2020)
01546,北海道 清里町,336,2020,国勢調査(2020)
01547,北海道 小清水町,345,2020,国勢調査(2020)
01549,北海道 訓子府町,365,2020,国勢調査(2020)
01550,北海道 置戸町,234,2020,国勢調査(2020)
01552,北海道 佐呂間町,349,2020,国勢調査(2020)
01555,北海道 遠軽町,1606,2020,国勢調査(2020)
01559,北海道 湧別町,615,2020,国勢調査(2020)
01560,北海道 滝上町,263,2020,国勢調査(2020)
01561,北海道 興部町,305,2020,国勢調査(2020)
01562,北海道 西興部村,117,2020,国勢調査(2020)
01563,北海道 雄武町,313,2020,国勢調査(2020)
01564,北海道 大空町,552,2020,国勢調査(2020)
01571,北海道 豊浦町,321,2020,国勢調査(2020)
