市区町村コード,市区町村名,値,調査年,出典
01100,北海道 札幌市,1605384,2020,国勢調査(2020)
01202,北海道 函館市,211872,2020,国勢調査(2020)
01203,北海道 小樽市,95280,2020,国勢調査(2020)
01204,北海道 旭川市,274990,2020,国勢調査(2020)
01205,北海道 室蘭市,68128,2020,国勢調査(2020)
01206,北海道 釧路市,138671,2020,国勢調査(2020)
01207,北海道 帯広市,138354,2020,国勢調査(2020)
01208,北海道 北見市,96104,2020,国勢調査(2020)
01209,北海道 夕張市,6758,2020,国勢調査(2020)
01210,北海道 岩見沢市,67123,2020,国勢調査(2020)
01211,北海道 網走市,29271,2020,国勢調査(2020)
01212,北海道 留萌市,16910,2020,国勢調査(2020)
01213,北海道 苫小牧市,138956,2020,国勢調査(2020)
01214,北海道 稚内市,28689,2020,国勢調査(2020)
01215,北海道 美唄市,17794,2020,国勢調査(2020)
01216,北海道 芦別市,11331,2020,国勢調査(2020)
01217,北海道 江別市,95540,2020,国勢調査(2020)
01218,北海道 赤平市,8700,2020,国勢調査(2020)
01219,北海道 紋別市,18541,2020,国勢調査(2020)
01220,北海道 士別市,15547,2020,国勢調査(2020)
01221,北海道 名寄市,22449,2020,国勢調査(2020)
01222,北海道 三笠市,7051,2020,国勢調査(2020)
01223,北海道 根室市,21280,2020,国勢調査(2020)
01224,北海道 千歳市,79031,2020,国勢調査(2020)
01225,北海道 滝川市,33216,2020,国勢調査(2020)
01226,北海道 砂川市,13844,2020,国勢調査(2020)
01227,北海道 歌志内市,2768,2020,国勢調査(2020)
01228,北海道 深川市,17275,2020,国勢調査(2020)
01229,北海道 富良野市,17949,2020,国勢調査(2020)
01230,北海道 登別市,39371,2020,国勢調査(2020)
01231,北海道 恵庭市,56201,2020,国勢調査(2020)
01233,北海道 伊達市,28081,2020,国勢調査(2020)
01234,北海道 北広島市,47349,2020,国勢調査(2020)
01235,北海道 石狩市,46820,2020,国勢調査(2020)
01236,北海道 北斗市,36529,2020,国勢調査(2020)
01303,北海道 当別町,13063,2020,国勢調査(2020)
01304,北海道 新篠津村,2492,2020,国勢調査(2020)
01331,北海道 松前町,5755,2020,国勢調査(2020)
01332,北海道 福島町,3468,2020,国勢調査(2020)
01333,北海道 知内町,3625,2020,国勢調査(2020)
01334,北海道 木古内町,3494,2020,国勢調査(2020)
01337,北海道 七飯町,23353,2020,国勢調査(2020)
01343,北海道 鹿部町,3305,2020,国勢調査(2020)
01345,北海道 森町,12436,2020,国勢調査(2020)
01346,北海道 八雲町,13621,2020,国勢調査(2020)
01347,北海道 長万部町,4483,2020,国勢調査(2020)
01361,北海道 江差町,6518,2020,国勢調査(2020)
01362,北海道 上ノ国町,3772,2020,国勢調査(2020)
01363,北海道 厚沢部町,3146,2020,国勢調査(2020)
01364,北海道 乙部町,2988,2020,国勢調査(2020)
01367,北海道 奥尻町,2155,2020,国勢調査(2020)
01370,北海道 今金町,4389,2020,国勢調査(2020)
01371,北海道 せたな町,6634,2020,国勢調査(2020)
01391,北海道 島牧村,1192,2020,国勢調査(2020)
01392,北海道 寿都町,2455,2020,国勢調査(2020)
01393,北海道 黒松内町,2394,2020,国勢調査(2020)
01394,北海道 蘭越町,3960,2020,国勢調査(2020)
01395,北海道 ニセコ町,3973,2020,国勢調査(2020)
01396,北海道 真狩村,1693,2020,国勢調査(2020)
01397,北海道 留寿都村,1597,2020,国勢調査(2020)
01398,北海道 喜茂別町,1801,2020,国勢調査(2020)
01399,北海道 京極町,2473,2020,国勢調査(2020)
01400,北海道 倶知安町,12390,2020,国勢調査(2020)
01401,北海道 共和町,4925,2020,国勢調査(2020)
01402,北海道 岩内町,10167,2020,国勢調査(2020)
01403,北海道 泊村,1382,2020,国勢調査(2020)
01404,北海道 神恵内村,786,2020,国勢調査(2020)
01405,北海道 積丹町,1642,2020,国勢調査(2020)
01406,北海道 古平町,2384,2020,国勢調査(2020)
01407,北海道 仁木町,2660,2020,国勢調査(2020)
01408,北海道 余市町,15418,2020,国勢調査(2020)
01409,北海道 赤井川村,1000,2020,国勢調査(2020)
01423,北海道 南幌町,6283,2020,国勢調査(2020)
01424,北海道 奈井江町,4481,2020,国勢調査(2020)
01425,北海道 上砂川町,2574,2020,国勢調査(2020)
01427,北海道 由仁町,4180,2020,国勢調査(2020)
01428,北海道 長沼町,8827,2020,国勢調査(2020)
01429,北海道 栗山町,9690,2020,国勢調査(2020)
01430,北海道 月形町,3316,2020,国勢調査(2020)
01431,北海道 浦臼町,1501,2020,国勢調査(2020)
01432,北海道 新十津川町,5518,2020,国勢調査(2020)
01433,北海道 妹背牛町,2387,2020,国勢調査(2020)
01434,北海道 秩父別町,2027,2020,国勢調査(2020)
01436,北海道 雨竜町,2015,2020,国勢調査(2020)
01437,北海道 北竜町,1517,2020,国勢調査(2020)
01438,北海道 沼田町,2562,2020,国勢調査(2020)
01452,北海道 鷹栖町,5368,2020,国勢調査(2020)
01453,北海道 東神楽町,8038,2020,国勢調査(2020)
01454,北海道 当麻町,5417,2020,国勢調査(2020)
01455,北海道 比布町,3048,2020,国勢調査(2020)
01456,北海道 愛別町,2298,2020,国勢調査(2020)
01457,北海道 上川町,3124,2020,国勢調査(2020)
01458,北海道 東川町,6694,2020,国勢調査(2020)
01459,北海道 美瑛町,8334,2020,国勢調査(2020)
01460,北海道 上富良野町,8687,2020,国勢調査(2020)
01461,北海道 中富良野町,3952,2020,国勢調査(2020)
01462,北海道 南富良野町,2021,2020,国勢調査(2020)
01463,北海道 占冠村,1124,2020,国勢調査(2020)
