市区町村コード,市区町村名,値,調査年,出典
01100,北海道 札幌市,2526,2014,経済センサス‐基礎調査(2014)
01202,北海道 函館市,494,2014,経済センサス‐基礎調査(2014)
01203,北海道 小樽市,202,2014,経済センサス‐基礎調査(2014)
01204,北海道 旭川市,465,2014,経済センサス‐基礎調査(2014)
01205,北海道 室蘭市,122,2014,経済センサス‐基礎調査(2014)
01206,北海道 釧路市,281,2014,経済センサス‐基礎調査(2014)
01207,北海道 帯広市,320,2014,経済センサス‐基礎調査(2014)
01208,北海道 北見市,181,2014,経済センサス‐基礎調査(2014)
01209,北海道 夕張市,11,2014,経済センサス‐基礎調査(2014)
01210,北海道 岩見沢市,105,2014,経済センサス‐基礎調査(2014)
01211,北海道 網走市,61,2014,経済センサス‐基礎調査(2014)
01212,北海道 留萌市,25,2014,経済センサス‐基礎調査(2014)
01213,北海道 苫小牧市,297,2014,経済センサス‐基礎調査(2014)
01214,北海道 稚内市,61,2014,経済センサス‐基礎調査(2014)
01215,北海道 美唄市,42,2014,経済センサス‐基礎調査(2014)
01216,北海道 芦別市,20,2014,経済センサス‐基礎調査(2014)
01217,北海道 江別市,238,2014,経済センサス‐基礎調査(2014)
01218,北海道 赤平市,14,2014,経済センサス‐基礎調査(2014)
01219,北海道 紋別市,42,2014,経済センサス‐基礎調査(2014)
01220,北海道 士別市,54,2014,経済センサス‐基礎調査(2014)
01221,北海道 名寄市,57,2014,経済センサス‐基礎調査(2014)
01222,北海道 三笠市,10,2014,経済センサス‐基礎調査(2014)
01223,北海道 根室市,47,2014,経済センサス‐基礎調査(2014)
01224,北海道 千歳市,129,2014,経済センサス‐基礎調査(2014)
01225,北海道 滝川市,71,2014,経済センサス‐基礎調査(2014)
01226,北海道 砂川市,31,2014,経済センサス‐基礎調査(2014)
01227,北海道 歌志内市,8,2014,経済センサス‐基礎調査(2014)
01228,北海道 深川市,36,2014,経済センサス‐基礎調査(2014)
01229,北海道 富良野市,57,2014,経済センサス‐基礎調査(2014)
01230,北海道 登別市,59,2014,経済センサス‐基礎調査(2014)
