市区町村コード,市区町村名,値,調査年,出典
01100,北海道 札幌市,76604,2014,経済センサス‐基礎調査(2014)
01202,北海道 函館市,13795,2014,経済センサス‐基礎調査(2014)
01203,北海道 小樽市,6090,2014,経済センサス‐基礎調査(2014)
01204,北海道 旭川市,15201,2014,経済センサス‐基礎調査(2014)
01205,北海道 室蘭市,4423,2014,経済センサス‐基礎調査(2014)
01206,北海道 釧路市,8871,2014,経済センサス‐基礎調査(2014)
01207,北海道 帯広市,9083,2014,経済センサス‐基礎調査(2014)
01208,北海道 北見市,5944,2014,経済センサス‐基礎調査(2014)
01209,北海道 夕張市,526,2014,経済センサス‐基礎調査(2014)
01210,北海道 岩見沢市,3497,2014,経済センサス‐基礎調査(2014)
01211,北海道 網走市,2036,2014,経済センサス‐基礎調査(2014)
01212,北海道 留萌市,1241,2014,経済センサス‐基礎調査(2014)
01213,北海道 苫小牧市,7723,2014,経済センサス‐基礎調査(2014)
01214,北海道 稚内市,2102,2014,経済センサス‐基礎調査(2014)
01215,北海道 美唄市,1098,2014,経済センサス‐基礎調査(2014)
01216,北海道 芦別市,749,2014,経済センサス‐基礎調査(2014)
01217,北海道 江別市,3579,2014,経済センサス‐基礎調査(2014)
01218,北海道 赤平市,502,2014,経済センサス‐基礎調査(2014)
01219,北海道 紋別市,1403,2014,経済センサス‐基礎調査(2014)
01220,北海道 士別市,1242,2014,経済センサス‐基礎調査(2014)
01221,北海道 名寄市,1505,2014,経済センサス‐基礎調査(2014)
01222,北海道 三笠市,440,2014,経済センサス‐基礎調査(2014)
01223,北海道 根室市,1609,2014,経済センサス‐基礎調査(2014)
01224,北海道 千歳市,3269,2014,経済センサス‐基礎調査(2014)
01225,北海道 滝川市,2033,2014,経済センサス‐基礎調査(2014)
01226,北海道 砂川市,893,2014,経済センサス‐基礎調査(2014)
01227,北海道 歌志内市,164,2014,経済センサス‐基礎調査(2014)
01228,北海道 深川市,1130,2014,経済センサス‐基礎調査(2014)
01229,北海道 富良野市,1258,2014,経済センサス‐基礎調査(2014)
01230,北海道 登別市,1685,2014,経済センサス‐基礎調査(2014)
01231,北海道 恵庭市,1980,2014,経済センサス‐基礎調査(2014)
01233,北海道 伊達市,1495,2014,経済センサス‐基礎調査(2014)
01234,北海道 北広島市,2026,2014,経済センサス‐基礎調査(2014)
01235,北海道 石狩市,2300,2014,経済センサス‐基礎調査(2014)
01236,北海道 北斗市,1835,2014,経済センサス‐基礎調査(2014)
01303,北海道 当別町,659,2014,経済センサス‐基礎調査(2014)
01304,北海道 新篠津村,120,2014,経済センサス‐基礎調査(2014)
01331,北海道 松前町,415,2014,経済センサス‐基礎調査(2014)
01332,北海道 福島町,290,2014,経済センサス‐基礎調査(2014)
01333,北海道 知内町,213,2014,経済センサス‐基礎調査(2014)
01334,北海道 木古内町,283,2014,経済センサス‐基礎調査(2014)
01337,北海道 七飯町,937,2014,経済センサス‐基礎調査(2014)
01343,北海道 鹿部町,166,2014,経済センサス‐基礎調査(2014)
01345,北海道 森町,936,2014,経済センサス‐基礎調査(2014)
01346,北海道 八雲町,985,2014,経済センサス‐基礎調査(2014)
01347,北海道 長万部町,345,2014,経済センサス‐基礎調査(2014)
01361,北海道 江差町,560,2014,経済センサス‐基礎調査(2014)
01362,北海道 上ノ国町,268,2014,経済センサス‐基礎調査(2014)
01363,北海道 厚沢部町,247,2014,経済センサス‐基礎調査(2014)
01364,北海道 乙部町,197,2014,経済センサス‐基礎調査(2014)
01367,北海道 奥尻町,254,2014,経済センサス‐基礎調査(2014)
01370,北海道 今金町,263,2014,経済センサス‐基礎調査(2014)
01371,北海道 せたな町,550,2014,経済センサス‐基礎調査(2014)
01391,北海道 島牧村,99,2014,経済センサス‐基礎調査(2014)
01392,北海道 寿都町,213,2014,経済センサス‐基礎調査(2014)
01393,北海道 黒松内町,185,2014,経済センサス‐基礎調査(2014)
01394,北海道 蘭越町,307,2014,経済センサス‐基礎調査(2014)
01395,北海道 ニセコ町,282,2014,経済センサス‐基礎調査(2014)
01396,北海道 真狩村,115,2014,経済センサス‐基礎調査(2014)
01397,北海道 留寿都村,125,2014,経済センサス‐基礎調査(2014)
01398,北海道 喜茂別町,145,2014,経済センサス‐基礎調査(2014)
01399,北海道 京極町,203,2014,経済センサス‐基礎調査(2014)
01400,北海道 倶知安町,990,2014,経済センサス‐基礎調査(2014)
01401,北海道 共和町,272,2014,経済センサス‐基礎調査(2014)
01402,北海道 岩内町,895,2014,経済センサス‐基礎調査(2014)
01403,北海道 泊村,123,2014,経済センサス‐基礎調査(2014)
01404,北海道 神恵内村,90,2014,経済センサス‐基礎調査(2014)
01405,北海道 積丹町,157,2014,経済センサス‐基礎調査(2014)
01406,北海道 古平町,190,2014,経済センサス‐基礎調査(2014)
01407,北海道 仁木町,193,2014,経済センサス‐基礎調査(2014)
01408,北海道 余市町,1001,2014,経済センサス‐基礎調査(2014)
01409,北海道 赤井川村,74,2014,経済センサス‐基礎調査(2014)
01423,北海道 南幌町,280,2014,経済センサス‐基礎調査(2014)
01424,北海道 奈井江町,284,2014,経済センサス‐基礎調査(2014)
01425,北海道 上砂川町,136,2014,経済センサス‐基礎調査(2014)
01427,北海道 由仁町,322,2014,経済センサス‐基礎調査(2014)
01428,北海道 長沼町,539,2014,経済センサス‐基礎調査(2014)
01429,北海道 栗山町,659,2014,経済センサス‐基礎調査(2014)
01430,北海道 月形町,185,2014,経済センサス‐基礎調査(2014)
01431,北海道 浦臼町,106,2014,経済センサス‐基礎調査(2014)
01432,北海道 新十津川町,219,2014,経済センサス‐基礎調査(2014)
01433,北海道 妹背牛町,160,2014,経済センサス‐基礎調査(2014)
01434,北海道 秩父別町,140,2014,経済センサス‐基礎調査(2014)
01436,北海道 雨竜町,127,2014,経済センサス‐基礎調査(2014)
01437,北海道 北竜町,110,2014,経済センサス‐基礎調査(2014)
01438,北海道 沼田町,192,2014,経済センサス‐基礎調査(2014)
01452,北海道 鷹栖町,270,2014,経済センサス‐基礎調査(2014)
01453,北海道 東神楽町,321,2014,経済センサス‐基礎調査(2014)
01454,北海道 当麻町,336,2014,経済センサス‐基礎調査(2014)
01455,北海道 比布町,198,2014,経済センサス‐基礎調査(2014)
01456,北海道 愛別町,177,2014,経済センサス‐基礎調査(2014)
01457,北海道 上川町,253,2014,経済センサス‐基礎調査(2014)
01458,北海道 東川町,341,2014,経済センサス‐基礎調査(2014)
01459,北海道 美瑛町,531,2014,経済センサス‐基礎調査(2014)
01460,北海道 上富良野町,514,2014,経済センサス‐基礎調査(2014)
01461,北海道 中富良野町,176,2014,経済センサス‐基礎調査(2014)
01462,北海道 南富良野町,173,2014,経済センサス‐基礎調査(2014)
01463,北海道 占冠村,95,2014,経済センサス‐基礎調査(2014)
01464,北海道 和寒町,224,2014,経済センサス‐基礎調査(2014)
01465,北海道 剣淵町,178,2014,経済センサス‐基礎調査(2014)
01468,北海道 下川町,244,2014,経済センサス‐基礎調査(2014)
01469,北海道 美深町,295,2014,経済センサス‐基礎調査(2014)
