都道府県コード,都道府県名,値(万人),調査年,出典
01,北海道,504,2024,社会・人口統計体系 総人口(万人)(e-Stat 0000010201 #A011000)
02,青森県,117,2024,社会・人口統計体系 総人口(万人)(e-Stat 0000010201 #A011000)
03,岩手県,115,2024,社会・人口統計体系 総人口(万人)(e-Stat 0000010201 #A011000)
04,宮城県,225,2024,社会・人口統計体系 総人口(万人)(e-Stat 0000010201 #A011000)
05,秋田県,90,2024,社会・人口統計体系 総人口(万人)(e-Stat 0000010201 #A011000)
06,山形県,101,2024,社会・人口統計体系 総人口(万人)(e-Stat 0000010201 #A011000)
07,福島県,174,2024,社会・人口統計体系 総人口(万人)(e-Stat 0000010201 #A011000)
08,茨城県,281,2024,社会・人口統計体系 総人口(万人)(e-Stat 0000010201 #A011000)
09,栃木県,189,2024,社会・人口統計体系 総人口(万人)(e-Stat 0000010201 #A011000)
10,群馬県,189,2024,社会・人口統計体系 総人口(万人)(e-Stat 0000010201 #A011000)
11,埼玉県,733,2024,社会・人口統計体系 総人口(万人)(e-Stat 0000010201 #A011000)
12,千葉県,625,2024,社会・人口統計体系 総人口(万人)(e-Stat 0000010201 #A011000)
13,東京都,1418,2024,社会・人口統計体系 総人口(万人)(e-Stat 0000010201 #A011000)
14,神奈川県,923,2024,社会・人口統計体系 総人口(万人)(e-Stat 0000010201 #A011000)
15,新潟県,210,2024,社会・人口統計体系 総人口(万人)(e-Stat 0000010201 #A011000)
16,富山県,100,2024,社会・人口統計体系 総人口(万人)(e-Stat 0000010201 #A011000)
17,石川県,110,2024,社会・人口統計体系 総人口(万人)(e-Stat 0000010201 #A011000)
18,福井県,74,2024,社会・人口統計体系 総人口(万人)(e-Stat 0000010201 #A011000)
19,山梨県,79,2024,社会・人口統計体系 総人口(万人)(e-Stat 0000010201 #A011000)
20,長野県,199,2024,社会・人口統計体系 総人口(万人)(e-Stat 0000010201 #A011000)
21,岐阜県,192,2024,社会・人口統計体系 総人口(万人)(e-Stat 0000010201 #A011000)
22,静岡県,353,2024,社会・人口統計体系 総人口(万人)(e-Stat 0000010201 #A011000)
23,愛知県,746,2024,社会・人口統計体系 総人口(万人)(e-Stat 0000010201 #A011000)
24,三重県,171,2024,社会・人口統計体系 総人口(万人)(e-Stat 0000010201 #A011000)
25,滋賀県,140,2024,社会・人口統計体系 総人口(万人)(e-Stat 0000010201 #A011000)
26,京都府,252,2024,社会・人口統計体系 総人口(万人)(e-Stat 0000010201 #A011000)
27,大阪府,876,2024,社会・人口統計体系 総人口(万人)(e-Stat 0000010201 #A011000)
28,兵庫県,534,2024,社会・人口統計体系 総人口(万人)(e-Stat 0000010201 #A011000)
29,奈良県,129,2024,社会・人口統計体系 総人口(万人)(e-Stat 0000010201 #A011000)
30,和歌山県,88,2024,社会・人口統計体系 総人口(万人)(e-Stat 0000010201 #A011000)
31,鳥取県,53,2024,社会・人口統計体系 総人口(万人)(e-Stat 0000010201 #A011000)
32,島根県,64,2024,社会・人口統計体系 総人口(万人)(e-Stat 0000010201 #A011000)
33,岡山県,183,2024,社会・人口統計体系 総人口(万人)(e-Stat 0000010201 #A011000)
34,広島県,271,2024,社会・人口統計体系 総人口(万人)(e-Stat 0000010201 #A011000)
35,山口県,128,2024,社会・人口統計体系 総人口(万人)(e-Stat 0000010201 #A011000)
36,徳島県,69,2024,社会・人口統計体系 総人口(万人)(e-Stat 0000010201 #A011000)
37,香川県,92,2024,社会・人口統計体系 総人口(万人)(e-Stat 0000010201 #A011000)
38,愛媛県,128,2024,社会・人口統計体系 総人口(万人)(e-Stat 0000010201 #A011000)
39,高知県,66,2024,社会・人口統計体系 総人口(万人)(e-Stat 0000010201 #A011000)
40,福岡県,509,2024,社会・人口統計体系 総人口(万人)(e-Stat 0000010201 #A011000)
41,佐賀県,79,2024,社会・人口統計体系 総人口(万人)(e-Stat 0000010201 #A011000)
42,長崎県,125,2024,社会・人口統計体系 総人口(万人)(e-Stat 0000010201 #A011000)
43,熊本県,170,2024,社会・人口統計体系 総人口(万人)(e-Stat 0000010201 #A011000)
44,大分県,109,2024,社会・人口統計体系 総人口(万人)(e-Stat 0000010201 #A011000)
45,宮崎県,103,2024,社会・人口統計体系 総人口(万人)(e-Stat 0000010201 #A011000)
46,鹿児島県,153,2024,社会・人口統計体系 総人口(万人)(e-Stat 0000010201 #A011000)
47,沖縄県,147,2024,社会・人口統計体系 総人口(万人)(e-Stat 0000010201 #A011000)
