都道府県コード,都道府県名,値,調査年,出典
01,北海道,62.2,2021,令和3年社会生活基本調査(e-Stat statsDataId=0003456409)
02,青森県,52.1,2021,令和3年社会生活基本調査(e-Stat statsDataId=0003456409)
03,岩手県,59.1,2021,令和3年社会生活基本調査(e-Stat statsDataId=0003456409)
04,宮城県,64.4,2021,令和3年社会生活基本調査(e-Stat statsDataId=0003456409)
05,秋田県,57.1,2021,令和3年社会生活基本調査(e-Stat statsDataId=0003456409)
06,山形県,58.4,2021,令和3年社会生活基本調査(e-Stat statsDataId=0003456409)
07,福島県,59.5,2021,令和3年社会生活基本調査(e-Stat statsDataId=0003456409)
08,茨城県,65.8,2021,令和3年社会生活基本調査(e-Stat statsDataId=0003456409)
09,栃木県,62.6,2021,令和3年社会生活基本調査(e-Stat statsDataId=0003456409)
10,群馬県,67.0,2021,令和3年社会生活基本調査(e-Stat statsDataId=0003456409)
11,埼玉県,69.3,2021,令和3年社会生活基本調査(e-Stat statsDataId=0003456409)
12,千葉県,67.4,2021,令和3年社会生活基本調査(e-Stat statsDataId=0003456409)
13,東京都,74.5,2021,令和3年社会生活基本調査(e-Stat statsDataId=0003456409)
14,神奈川県,71.8,2021,令和3年社会生活基本調査(e-Stat statsDataId=0003456409)
15,新潟県,59.0,2021,令和3年社会生活基本調査(e-Stat statsDataId=0003456409)
16,富山県,59.7,2021,令和3年社会生活基本調査(e-Stat statsDataId=0003456409)
17,石川県,63.4,2021,令和3年社会生活基本調査(e-Stat statsDataId=0003456409)
18,福井県,61.5,2021,令和3年社会生活基本調査(e-Stat statsDataId=0003456409)
19,山梨県,62.2,2021,令和3年社会生活基本調査(e-Stat statsDataId=0003456409)
20,長野県,64.0,2021,令和3年社会生活基本調査(e-Stat statsDataId=0003456409)
21,岐阜県,64.1,2021,令和3年社会生活基本調査(e-Stat statsDataId=0003456409)
22,静岡県,66.3,2021,令和3年社会生活基本調査(e-Stat statsDataId=0003456409)
23,愛知県,68.8,2021,令和3年社会生活基本調査(e-Stat statsDataId=0003456409)
24,三重県,64.3,2021,令和3年社会生活基本調査(e-Stat statsDataId=0003456409)
25,滋賀県,67.2,2021,令和3年社会生活基本調査(e-Stat statsDataId=0003456409)
26,京都府,67.0,2021,令和3年社会生活基本調査(e-Stat statsDataId=0003456409)
27,大阪府,66.1,2021,令和3年社会生活基本調査(e-Stat statsDataId=0003456409)
28,兵庫県,66.4,2021,令和3年社会生活基本調査(e-Stat statsDataId=0003456409)
29,奈良県,64.8,2021,令和3年社会生活基本調査(e-Stat statsDataId=0003456409)
30,和歌山県,59.8,2021,令和3年社会生活基本調査(e-Stat statsDataId=0003456409)
31,鳥取県,61.2,2021,令和3年社会生活基本調査(e-Stat statsDataId=0003456409)
32,島根県,61.4,2021,令和3年社会生活基本調査(e-Stat statsDataId=0003456409)
33,岡山県,64.8,2021,令和3年社会生活基本調査(e-Stat statsDataId=0003456409)
34,広島県,65.3,2021,令和3年社会生活基本調査(e-Stat statsDataId=0003456409)
35,山口県,63.2,2021,令和3年社会生活基本調査(e-Stat statsDataId=0003456409)
36,徳島県,60.9,2021,令和3年社会生活基本調査(e-Stat statsDataId=0003456409)
37,香川県,61.8,2021,令和3年社会生活基本調査(e-Stat statsDataId=0003456409)
38,愛媛県,64.0,2021,令和3年社会生活基本調査(e-Stat statsDataId=0003456409)
39,高知県,59.4,2021,令和3年社会生活基本調査(e-Stat statsDataId=0003456409)
40,福岡県,67.0,2021,令和3年社会生活基本調査(e-Stat statsDataId=0003456409)
41,佐賀県,62.8,2021,令和3年社会生活基本調査(e-Stat statsDataId=0003456409)
42,長崎県,57.8,2021,令和3年社会生活基本調査(e-Stat statsDataId=0003456409)
43,熊本県,66.6,2021,令和3年社会生活基本調査(e-Stat statsDataId=0003456409)
44,大分県,63.1,2021,令和3年社会生活基本調査(e-Stat statsDataId=0003456409)
45,宮崎県,65.8,2021,令和3年社会生活基本調査(e-Stat statsDataId=0003456409)
46,鹿児島県,63.5,2021,令和3年社会生活基本調査(e-Stat statsDataId=0003456409)
47,沖縄県,65.8,2021,令和3年社会生活基本調査(e-Stat statsDataId=0003456409)
