都道府県コード,都道府県名,値,調査年,出典
01,北海道,51.0,2021,社会・人口統計体系 旅行・行楽の年間行動者率(10歳以上)(e-Stat 0000010207 #G043061)
02,青森県,36.6,2021,社会・人口統計体系 旅行・行楽の年間行動者率(10歳以上)(e-Stat 0000010207 #G043061)
03,岩手県,45.3,2021,社会・人口統計体系 旅行・行楽の年間行動者率(10歳以上)(e-Stat 0000010207 #G043061)
04,宮城県,52.2,2021,社会・人口統計体系 旅行・行楽の年間行動者率(10歳以上)(e-Stat 0000010207 #G043061)
05,秋田県,44.8,2021,社会・人口統計体系 旅行・行楽の年間行動者率(10歳以上)(e-Stat 0000010207 #G043061)
06,山形県,44.3,2021,社会・人口統計体系 旅行・行楽の年間行動者率(10歳以上)(e-Stat 0000010207 #G043061)
07,福島県,44.4,2021,社会・人口統計体系 旅行・行楽の年間行動者率(10歳以上)(e-Stat 0000010207 #G043061)
08,茨城県,45.0,2021,社会・人口統計体系 旅行・行楽の年間行動者率(10歳以上)(e-Stat 0000010207 #G043061)
09,栃木県,47.3,2021,社会・人口統計体系 旅行・行楽の年間行動者率(10歳以上)(e-Stat 0000010207 #G043061)
10,群馬県,50.8,2021,社会・人口統計体系 旅行・行楽の年間行動者率(10歳以上)(e-Stat 0000010207 #G043061)
11,埼玉県,51.5,2021,社会・人口統計体系 旅行・行楽の年間行動者率(10歳以上)(e-Stat 0000010207 #G043061)
12,千葉県,47.9,2021,社会・人口統計体系 旅行・行楽の年間行動者率(10歳以上)(e-Stat 0000010207 #G043061)
13,東京都,55.5,2021,社会・人口統計体系 旅行・行楽の年間行動者率(10歳以上)(e-Stat 0000010207 #G043061)
14,神奈川県,54.5,2021,社会・人口統計体系 旅行・行楽の年間行動者率(10歳以上)(e-Stat 0000010207 #G043061)
15,新潟県,47.6,2021,社会・人口統計体系 旅行・行楽の年間行動者率(10歳以上)(e-Stat 0000010207 #G043061)
16,富山県,41.1,2021,社会・人口統計体系 旅行・行楽の年間行動者率(10歳以上)(e-Stat 0000010207 #G043061)
17,石川県,44.7,2021,社会・人口統計体系 旅行・行楽の年間行動者率(10歳以上)(e-Stat 0000010207 #G043061)
18,福井県,44.3,2021,社会・人口統計体系 旅行・行楽の年間行動者率(10歳以上)(e-Stat 0000010207 #G043061)
19,山梨県,46.7,2021,社会・人口統計体系 旅行・行楽の年間行動者率(10歳以上)(e-Stat 0000010207 #G043061)
20,長野県,46.9,2021,社会・人口統計体系 旅行・行楽の年間行動者率(10歳以上)(e-Stat 0000010207 #G043061)
21,岐阜県,48.6,2021,社会・人口統計体系 旅行・行楽の年間行動者率(10歳以上)(e-Stat 0000010207 #G043061)
22,静岡県,41.3,2021,社会・人口統計体系 旅行・行楽の年間行動者率(10歳以上)(e-Stat 0000010207 #G043061)
23,愛知県,57.6,2021,社会・人口統計体系 旅行・行楽の年間行動者率(10歳以上)(e-Stat 0000010207 #G043061)
24,三重県,47.0,2021,社会・人口統計体系 旅行・行楽の年間行動者率(10歳以上)(e-Stat 0000010207 #G043061)
25,滋賀県,52.2,2021,社会・人口統計体系 旅行・行楽の年間行動者率(10歳以上)(e-Stat 0000010207 #G043061)
26,京都府,54.2,2021,社会・人口統計体系 旅行・行楽の年間行動者率(10歳以上)(e-Stat 0000010207 #G043061)
27,大阪府,51.9,2021,社会・人口統計体系 旅行・行楽の年間行動者率(10歳以上)(e-Stat 0000010207 #G043061)
28,兵庫県,51.6,2021,社会・人口統計体系 旅行・行楽の年間行動者率(10歳以上)(e-Stat 0000010207 #G043061)
29,奈良県,50.4,2021,社会・人口統計体系 旅行・行楽の年間行動者率(10歳以上)(e-Stat 0000010207 #G043061)
30,和歌山県,44.1,2021,社会・人口統計体系 旅行・行楽の年間行動者率(10歳以上)(e-Stat 0000010207 #G043061)
31,鳥取県,38.4,2021,社会・人口統計体系 旅行・行楽の年間行動者率(10歳以上)(e-Stat 0000010207 #G043061)
32,島根県,39.8,2021,社会・人口統計体系 旅行・行楽の年間行動者率(10歳以上)(e-Stat 0000010207 #G043061)
33,岡山県,43.0,2021,社会・人口統計体系 旅行・行楽の年間行動者率(10歳以上)(e-Stat 0000010207 #G043061)
34,広島県,47.1,2021,社会・人口統計体系 旅行・行楽の年間行動者率(10歳以上)(e-Stat 0000010207 #G043061)
