都道府県コード,都道府県庁所在市名,値(円/年),調査年,出典
01,01100 札幌市,98170,2024,家計調査 交際費(県庁所在市・e-Stat 0003348239)
02,02201 青森市,63646,2024,家計調査 交際費(県庁所在市・e-Stat 0003348239)
03,03201 盛岡市,109713,2024,家計調査 交際費(県庁所在市・e-Stat 0003348239)
04,04100 仙台市,117450,2024,家計調査 交際費(県庁所在市・e-Stat 0003348239)
05,05201 秋田市,98385,2024,家計調査 交際費(県庁所在市・e-Stat 0003348239)
06,06201 山形市,104982,2024,家計調査 交際費(県庁所在市・e-Stat 0003348239)
07,07201 福島市,121965,2024,家計調査 交際費(県庁所在市・e-Stat 0003348239)
08,08201 水戸市,119699,2024,家計調査 交際費(県庁所在市・e-Stat 0003348239)
09,09201 宇都宮市,109429,2024,家計調査 交際費(県庁所在市・e-Stat 0003348239)
10,10201 前橋市,135019,2024,家計調査 交際費(県庁所在市・e-Stat 0003348239)
11,11100 さいたま市,193689,2024,家計調査 交際費(県庁所在市・e-Stat 0003348239)
12,12100 千葉市,145894,2024,家計調査 交際費(県庁所在市・e-Stat 0003348239)
13,13100 東京都区部,112998,2024,家計調査 交際費(県庁所在市・e-Stat 0003348239)
14,14100 横浜市,133701,2024,家計調査 交際費(県庁所在市・e-Stat 0003348239)
15,15100 新潟市,98587,2024,家計調査 交際費(県庁所在市・e-Stat 0003348239)
16,16201 富山市,127837,2024,家計調査 交際費(県庁所在市・e-Stat 0003348239)
17,17201 金沢市,116815,2024,家計調査 交際費(県庁所在市・e-Stat 0003348239)
18,18201 福井市,126475,2024,家計調査 交際費(県庁所在市・e-Stat 0003348239)
19,19201 甲府市,105654,2024,家計調査 交際費(県庁所在市・e-Stat 0003348239)
20,20201 長野市,147367,2024,家計調査 交際費(県庁所在市・e-Stat 0003348239)
21,21201 岐阜市,67850,2024,家計調査 交際費(県庁所在市・e-Stat 0003348239)
22,22100 静岡市,102523,2024,家計調査 交際費(県庁所在市・e-Stat 0003348239)
23,23100 名古屋市,117396,2024,家計調査 交際費(県庁所在市・e-Stat 0003348239)
24,24201 津市,110479,2024,家計調査 交際費(県庁所在市・e-Stat 0003348239)
25,25201 大津市,124416,2024,家計調査 交際費(県庁所在市・e-Stat 0003348239)
26,26100 京都市,74305,2024,家計調査 交際費(県庁所在市・e-Stat 0003348239)
27,27100 大阪市,112235,2024,家計調査 交際費(県庁所在市・e-Stat 0003348239)
28,28100 神戸市,92613,2024,家計調査 交際費(県庁所在市・e-Stat 0003348239)
29,29201 奈良市,132327,2024,家計調査 交際費(県庁所在市・e-Stat 0003348239)
30,30201 和歌山市,108860,2024,家計調査 交際費(県庁所在市・e-Stat 0003348239)
31,31201 鳥取市,123248,2024,家計調査 交際費(県庁所在市・e-Stat 0003348239)
32,32201 松江市,117198,2024,家計調査 交際費(県庁所在市・e-Stat 0003348239)
33,33100 岡山市,163859,2024,家計調査 交際費(県庁所在市・e-Stat 0003348239)
34,34100 広島市,120280,2024,家計調査 交際費(県庁所在市・e-Stat 0003348239)
35,35203 山口市,120273,2024,家計調査 交際費(県庁所在市・e-Stat 0003348239)
36,36201 徳島市,108764,2024,家計調査 交際費(県庁所在市・e-Stat 0003348239)
37,37201 高松市,102347,2024,家計調査 交際費(県庁所在市・e-Stat 0003348239)
38,38201 松山市,69915,2024,家計調査 交際費(県庁所在市・e-Stat 0003348239)
39,39201 高知市,126186,2024,家計調査 交際費(県庁所在市・e-Stat 0003348239)
40,40130 福岡市,134870,2024,家計調査 交際費(県庁所在市・e-Stat 0003348239)
41,41201 佐賀市,128298,2024,家計調査 交際費(県庁所在市・e-Stat 0003348239)
42,42201 長崎市,125293,2024,家計調査 交際費(県庁所在市・e-Stat 0003348239)
43,43100 熊本市,150220,2024,家計調査 交際費(県庁所在市・e-Stat 0003348239)
44,44201 大分市,125375,2024,家計調査 交際費(県庁所在市・e-Stat 0003348239)
45,45201 宮崎市,107523,2024,家計調査 交際費(県庁所在市・e-Stat 0003348239)
46,46201 鹿児島市,124722,2024,家計調査 交際費(県庁所在市・e-Stat 0003348239)
47,47201 那覇市,97595,2024,家計調査 交際費(県庁所在市・e-Stat 0003348239)
