都道府県コード,都道府県名,値(人/人口10万人),調査年,出典
27,大阪府,4.21,2023,とどラン お笑い芸人出身地(民間集計・人口10万人あたり)
26,京都府,2.99,2023,とどラン お笑い芸人出身地(民間集計・人口10万人あたり)
47,沖縄県,2.93,2023,とどラン お笑い芸人出身地(民間集計・人口10万人あたり)
28,兵庫県,2.47,2023,とどラン お笑い芸人出身地(民間集計・人口10万人あたり)
29,奈良県,1.96,2023,とどラン お笑い芸人出身地(民間集計・人口10万人あたり)
38,愛媛県,1.95,2023,とどラン お笑い芸人出身地(民間集計・人口10万人あたり)
31,鳥取県,1.81,2023,とどラン お笑い芸人出身地(民間集計・人口10万人あたり)
39,高知県,1.73,2023,とどラン お笑い芸人出身地(民間集計・人口10万人あたり)
25,滋賀県,1.56,2023,とどラン お笑い芸人出身地(民間集計・人口10万人あたり)
43,熊本県,1.44,2023,とどラン お笑い芸人出身地(民間集計・人口10万人あたり)
33,岡山県,1.38,2023,とどラン お笑い芸人出身地(民間集計・人口10万人あたり)
32,島根県,1.34,2023,とどラン お笑い芸人出身地(民間集計・人口10万人あたり)
13,東京都,1.29,2023,とどラン お笑い芸人出身地(民間集計・人口10万人あたり)
45,宮崎県,1.22,2023,とどラン お笑い芸人出身地(民間集計・人口10万人あたり)
24,三重県,1.19,2023,とどラン お笑い芸人出身地(民間集計・人口10万人あたり)
34,広島県,1.18,2023,とどラン お笑い芸人出身地(民間集計・人口10万人あたり)
11,埼玉県,1.17,2023,とどラン お笑い芸人出身地(民間集計・人口10万人あたり)
02,青森県,1.13,2023,とどラン お笑い芸人出身地(民間集計・人口10万人あたり)
06,山形県,1.12,2023,とどラン お笑い芸人出身地(民間集計・人口10万人あたり)
16,山梨県,1.11,2023,とどラン お笑い芸人出身地(民間集計・人口10万人あたり)
41,佐賀県,1.11,2023,とどラン お笑い芸人出身地(民間集計・人口10万人あたり)
14,神奈川県,1.09,2023,とどラン お笑い芸人出身地(民間集計・人口10万人あたり)
46,鹿児島県,1.07,2023,とどラン お笑い芸人出身地(民間集計・人口10万人あたり)
37,香川県,1.05,2023,とどラン お笑い芸人出身地(民間集計・人口10万人あたり)
19,福井県,1.04,2023,とどラン お笑い芸人出身地(民間集計・人口10万人あたり)
35,山口県,1.04,2023,とどラン お笑い芸人出身地(民間集計・人口10万人あたり)
40,福岡県,1.03,2023,とどラン お笑い芸人出身地(民間集計・人口10万人あたり)
07,福島県,0.98,2023,とどラン お笑い芸人出身地(民間集計・人口10万人あたり)
30,和歌山県,0.98,2023,とどラン お笑い芸人出身地(民間集計・人口10万人あたり)
36,徳島県,0.97,2023,とどラン お笑い芸人出身地(民間集計・人口10万人あたり)
17,富山県,0.97,2023,とどラン お笑い芸人出身地(民間集計・人口10万人あたり)
12,千葉県,0.94,2023,とどラン お笑い芸人出身地(民間集計・人口10万人あたり)
01,北海道,0.94,2023,とどラン お笑い芸人出身地(民間集計・人口10万人あたり)
10,群馬県,0.93,2023,とどラン お笑い芸人出身地(民間集計・人口10万人あたり)
22,静岡県,0.91,2023,とどラン お笑い芸人出身地(民間集計・人口10万人あたり)
08,茨城県,0.87,2023,とどラン お笑い芸人出身地(民間集計・人口10万人あたり)
05,秋田県,0.83,2023,とどラン お笑い芸人出身地(民間集計・人口10万人あたり)
03,岩手県,0.83,2023,とどラン お笑い芸人出身地(民間集計・人口10万人あたり)
15,新潟県,0.82,2023,とどラン お笑い芸人出身地(民間集計・人口10万人あたり)
44,大分県,0.80,2023,とどラン お笑い芸人出身地(民間集計・人口10万人あたり)
20,長野県,0.73,2023,とどラン お笑い芸人出身地(民間集計・人口10万人あたり)
21,岐阜県,0.71,2023,とどラン お笑い芸人出身地(民間集計・人口10万人あたり)
09,栃木県,0.67,2023,とどラン お笑い芸人出身地(民間集計・人口10万人あたり)
23,愛知県,0.61,2023,とどラン お笑い芸人出身地(民間集計・人口10万人あたり)
18,石川県,0.53,2023,とどラン お笑い芸人出身地(民間集計・人口10万人あたり)
04,宮城県,0.48,2023,とどラン お笑い芸人出身地(民間集計・人口10万人あたり)
42,長崎県,0.46,2023,とどラン お笑い芸人出身地(民間集計・人口10万人あたり)
