都道府県コード,都道府県名,値,調査年,出典
01,北海道,28.9,2024,社会・人口統計体系 平均貯蓄率(勤労者世帯)(e-Stat 0000010212 #L02734)
02,青森県,34.7,2024,社会・人口統計体系 平均貯蓄率(勤労者世帯)(e-Stat 0000010212 #L02734)
03,岩手県,30.3,2024,社会・人口統計体系 平均貯蓄率(勤労者世帯)(e-Stat 0000010212 #L02734)
04,宮城県,39.1,2024,社会・人口統計体系 平均貯蓄率(勤労者世帯)(e-Stat 0000010212 #L02734)
05,秋田県,31.1,2024,社会・人口統計体系 平均貯蓄率(勤労者世帯)(e-Stat 0000010212 #L02734)
06,山形県,38.8,2024,社会・人口統計体系 平均貯蓄率(勤労者世帯)(e-Stat 0000010212 #L02734)
07,福島県,32.4,2024,社会・人口統計体系 平均貯蓄率(勤労者世帯)(e-Stat 0000010212 #L02734)
08,茨城県,44.0,2024,社会・人口統計体系 平均貯蓄率(勤労者世帯)(e-Stat 0000010212 #L02734)
09,栃木県,38.5,2024,社会・人口統計体系 平均貯蓄率(勤労者世帯)(e-Stat 0000010212 #L02734)
10,群馬県,28.1,2024,社会・人口統計体系 平均貯蓄率(勤労者世帯)(e-Stat 0000010212 #L02734)
11,埼玉県,44.6,2024,社会・人口統計体系 平均貯蓄率(勤労者世帯)(e-Stat 0000010212 #L02734)
12,千葉県,33.8,2024,社会・人口統計体系 平均貯蓄率(勤労者世帯)(e-Stat 0000010212 #L02734)
13,東京都,33.4,2024,社会・人口統計体系 平均貯蓄率(勤労者世帯)(e-Stat 0000010212 #L02734)
14,神奈川県,35.4,2024,社会・人口統計体系 平均貯蓄率(勤労者世帯)(e-Stat 0000010212 #L02734)
15,新潟県,36.2,2024,社会・人口統計体系 平均貯蓄率(勤労者世帯)(e-Stat 0000010212 #L02734)
16,富山県,38.4,2024,社会・人口統計体系 平均貯蓄率(勤労者世帯)(e-Stat 0000010212 #L02734)
17,石川県,44.3,2024,社会・人口統計体系 平均貯蓄率(勤労者世帯)(e-Stat 0000010212 #L02734)
18,福井県,44.5,2024,社会・人口統計体系 平均貯蓄率(勤労者世帯)(e-Stat 0000010212 #L02734)
19,山梨県,35.3,2024,社会・人口統計体系 平均貯蓄率(勤労者世帯)(e-Stat 0000010212 #L02734)
20,長野県,37.5,2024,社会・人口統計体系 平均貯蓄率(勤労者世帯)(e-Stat 0000010212 #L02734)
21,岐阜県,40.9,2024,社会・人口統計体系 平均貯蓄率(勤労者世帯)(e-Stat 0000010212 #L02734)
22,静岡県,36.8,2024,社会・人口統計体系 平均貯蓄率(勤労者世帯)(e-Stat 0000010212 #L02734)
23,愛知県,39.4,2024,社会・人口統計体系 平均貯蓄率(勤労者世帯)(e-Stat 0000010212 #L02734)
24,三重県,42.3,2024,社会・人口統計体系 平均貯蓄率(勤労者世帯)(e-Stat 0000010212 #L02734)
25,滋賀県,34.4,2024,社会・人口統計体系 平均貯蓄率(勤労者世帯)(e-Stat 0000010212 #L02734)
26,京都府,43.8,2024,社会・人口統計体系 平均貯蓄率(勤労者世帯)(e-Stat 0000010212 #L02734)
27,大阪府,38.2,2024,社会・人口統計体系 平均貯蓄率(勤労者世帯)(e-Stat 0000010212 #L02734)
28,兵庫県,34.9,2024,社会・人口統計体系 平均貯蓄率(勤労者世帯)(e-Stat 0000010212 #L02734)
29,奈良県,41.7,2024,社会・人口統計体系 平均貯蓄率(勤労者世帯)(e-Stat 0000010212 #L02734)
30,和歌山県,39.5,2024,社会・人口統計体系 平均貯蓄率(勤労者世帯)(e-Stat 0000010212 #L02734)
31,鳥取県,25.3,2024,社会・人口統計体系 平均貯蓄率(勤労者世帯)(e-Stat 0000010212 #L02734)
32,島根県,37.7,2024,社会・人口統計体系 平均貯蓄率(勤労者世帯)(e-Stat 0000010212 #L02734)
33,岡山県,36.3,2024,社会・人口統計体系 平均貯蓄率(勤労者世帯)(e-Stat 0000010212 #L02734)
34,広島県,35.8,2024,社会・人口統計体系 平均貯蓄率(勤労者世帯)(e-Stat 0000010212 #L02734)
35,山口県,37.2,2024,社会・人口統計体系 平均貯蓄率(勤労者世帯)(e-Stat 0000010212 #L02734)
36,徳島県,38.5,2024,社会・人口統計体系 平均貯蓄率(勤労者世帯)(e-Stat 0000010212 #L02734)
37,香川県,36.1,2024,社会・人口統計体系 平均貯蓄率(勤労者世帯)(e-Stat 0000010212 #L02734)
38,愛媛県,30.3,2024,社会・人口統計体系 平均貯蓄率(勤労者世帯)(e-Stat 0000010212 #L02734)
39,高知県,34.4,2024,社会・人口統計体系 平均貯蓄率(勤労者世帯)(e-Stat 0000010212 #L02734)
40,福岡県,34.3,2024,社会・人口統計体系 平均貯蓄率(勤労者世帯)(e-Stat 0000010212 #L02734)
41,佐賀県,27.3,2024,社会・人口統計体系 平均貯蓄率(勤労者世帯)(e-Stat 0000010212 #L02734)
42,長崎県,33.0,2024,社会・人口統計体系 平均貯蓄率(勤労者世帯)(e-Stat 0000010212 #L02734)
43,熊本県,31.2,2024,社会・人口統計体系 平均貯蓄率(勤労者世帯)(e-Stat 0000010212 #L02734)
44,大分県,31.8,2024,社会・人口統計体系 平均貯蓄率(勤労者世帯)(e-Stat 0000010212 #L02734)
45,宮崎県,23.2,2024,社会・人口統計体系 平均貯蓄率(勤労者世帯)(e-Stat 0000010212 #L02734)
46,鹿児島県,28.1,2024,社会・人口統計体系 平均貯蓄率(勤労者世帯)(e-Stat 0000010212 #L02734)
47,沖縄県,32.2,2024,社会・人口統計体系 平均貯蓄率(勤労者世帯)(e-Stat 0000010212 #L02734)
