都道府県コード,都道府県名,値,調査年,出典
01,北海道,57.0,2023,社会・人口統計体系 持ち家比率(e-Stat 0000010208 #H01301)
02,青森県,71.4,2023,社会・人口統計体系 持ち家比率(e-Stat 0000010208 #H01301)
03,岩手県,70.3,2023,社会・人口統計体系 持ち家比率(e-Stat 0000010208 #H01301)
04,宮城県,60.0,2023,社会・人口統計体系 持ち家比率(e-Stat 0000010208 #H01301)
05,秋田県,77.1,2023,社会・人口統計体系 持ち家比率(e-Stat 0000010208 #H01301)
06,山形県,75.0,2023,社会・人口統計体系 持ち家比率(e-Stat 0000010208 #H01301)
07,福島県,68.3,2023,社会・人口統計体系 持ち家比率(e-Stat 0000010208 #H01301)
08,茨城県,69.4,2023,社会・人口統計体系 持ち家比率(e-Stat 0000010208 #H01301)
09,栃木県,69.1,2023,社会・人口統計体系 持ち家比率(e-Stat 0000010208 #H01301)
10,群馬県,71.1,2023,社会・人口統計体系 持ち家比率(e-Stat 0000010208 #H01301)
11,埼玉県,65.1,2023,社会・人口統計体系 持ち家比率(e-Stat 0000010208 #H01301)
12,千葉県,64.7,2023,社会・人口統計体系 持ち家比率(e-Stat 0000010208 #H01301)
13,東京都,44.7,2023,社会・人口統計体系 持ち家比率(e-Stat 0000010208 #H01301)
14,神奈川県,58.7,2023,社会・人口統計体系 持ち家比率(e-Stat 0000010208 #H01301)
15,新潟県,74.0,2023,社会・人口統計体系 持ち家比率(e-Stat 0000010208 #H01301)
16,富山県,74.9,2023,社会・人口統計体系 持ち家比率(e-Stat 0000010208 #H01301)
17,石川県,67.8,2023,社会・人口統計体系 持ち家比率(e-Stat 0000010208 #H01301)
18,福井県,73.5,2023,社会・人口統計体系 持ち家比率(e-Stat 0000010208 #H01301)
19,山梨県,68.6,2023,社会・人口統計体系 持ち家比率(e-Stat 0000010208 #H01301)
20,長野県,71.7,2023,社会・人口統計体系 持ち家比率(e-Stat 0000010208 #H01301)
21,岐阜県,73.7,2023,社会・人口統計体系 持ち家比率(e-Stat 0000010208 #H01301)
22,静岡県,67.4,2023,社会・人口統計体系 持ち家比率(e-Stat 0000010208 #H01301)
23,愛知県,59.6,2023,社会・人口統計体系 持ち家比率(e-Stat 0000010208 #H01301)
24,三重県,72.3,2023,社会・人口統計体系 持ち家比率(e-Stat 0000010208 #H01301)
25,滋賀県,70.9,2023,社会・人口統計体系 持ち家比率(e-Stat 0000010208 #H01301)
26,京都府,60.7,2023,社会・人口統計体系 持ち家比率(e-Stat 0000010208 #H01301)
27,大阪府,54.5,2023,社会・人口統計体系 持ち家比率(e-Stat 0000010208 #H01301)
28,兵庫県,64.4,2023,社会・人口統計体系 持ち家比率(e-Stat 0000010208 #H01301)
29,奈良県,73.2,2023,社会・人口統計体系 持ち家比率(e-Stat 0000010208 #H01301)
30,和歌山県,73.8,2023,社会・人口統計体系 持ち家比率(e-Stat 0000010208 #H01301)
31,鳥取県,69.6,2023,社会・人口統計体系 持ち家比率(e-Stat 0000010208 #H01301)
32,島根県,69.6,2023,社会・人口統計体系 持ち家比率(e-Stat 0000010208 #H01301)
33,岡山県,65.6,2023,社会・人口統計体系 持ち家比率(e-Stat 0000010208 #H01301)
34,広島県,61.9,2023,社会・人口統計体系 持ち家比率(e-Stat 0000010208 #H01301)
35,山口県,67.0,2023,社会・人口統計体系 持ち家比率(e-Stat 0000010208 #H01301)
36,徳島県,68.1,2023,社会・人口統計体系 持ち家比率(e-Stat 0000010208 #H01301)
37,香川県,69.4,2023,社会・人口統計体系 持ち家比率(e-Stat 0000010208 #H01301)
38,愛媛県,65.0,2023,社会・人口統計体系 持ち家比率(e-Stat 0000010208 #H01301)
39,高知県,66.0,2023,社会・人口統計体系 持ち家比率(e-Stat 0000010208 #H01301)
40,福岡県,52.7,2023,社会・人口統計体系 持ち家比率(e-Stat 0000010208 #H01301)
41,佐賀県,67.9,2023,社会・人口統計体系 持ち家比率(e-Stat 0000010208 #H01301)
42,長崎県,64.7,2023,社会・人口統計体系 持ち家比率(e-Stat 0000010208 #H01301)
43,熊本県,62.9,2023,社会・人口統計体系 持ち家比率(e-Stat 0000010208 #H01301)
44,大分県,62.3,2023,社会・人口統計体系 持ち家比率(e-Stat 0000010208 #H01301)
45,宮崎県,65.7,2023,社会・人口統計体系 持ち家比率(e-Stat 0000010208 #H01301)
46,鹿児島県,63.3,2023,社会・人口統計体系 持ち家比率(e-Stat 0000010208 #H01301)
47,沖縄県,42.6,2023,社会・人口統計体系 持ち家比率(e-Stat 0000010208 #H01301)
