都道府県コード,都道府県名,値,調査年,出典
01,北海道,59.3,2024,全国学力・学習状況調査(文科省・2024年度、小学校国語+小学校算数+中学校国語+中学校数学の単純平均)
02,青森県,60,2024,全国学力・学習状況調査(文科省・2024年度、小学校国語+小学校算数+中学校国語+中学校数学の単純平均)
03,岩手県,58.3,2024,全国学力・学習状況調査(文科省・2024年度、小学校国語+小学校算数+中学校国語+中学校数学の単純平均)
04,宮城県,58.3,2024,全国学力・学習状況調査(文科省・2024年度、小学校国語+小学校算数+中学校国語+中学校数学の単純平均)
05,秋田県,62.8,2024,全国学力・学習状況調査(文科省・2024年度、小学校国語+小学校算数+中学校国語+中学校数学の単純平均)
06,山形県,58.5,2024,全国学力・学習状況調査(文科省・2024年度、小学校国語+小学校算数+中学校国語+中学校数学の単純平均)
07,福島県,57.8,2024,全国学力・学習状況調査(文科省・2024年度、小学校国語+小学校算数+中学校国語+中学校数学の単純平均)
08,茨城県,59.8,2024,全国学力・学習状況調査(文科省・2024年度、小学校国語+小学校算数+中学校国語+中学校数学の単純平均)
09,栃木県,60.5,2024,全国学力・学習状況調査(文科省・2024年度、小学校国語+小学校算数+中学校国語+中学校数学の単純平均)
10,群馬県,60.3,2024,全国学力・学習状況調査(文科省・2024年度、小学校国語+小学校算数+中学校国語+中学校数学の単純平均)
11,埼玉県,61.3,2024,全国学力・学習状況調査(文科省・2024年度、小学校国語+小学校算数+中学校国語+中学校数学の単純平均)
12,千葉県,59.5,2024,全国学力・学習状況調査(文科省・2024年度、小学校国語+小学校算数+中学校国語+中学校数学の単純平均)
13,東京都,64,2024,全国学力・学習状況調査(文科省・2024年度、小学校国語+小学校算数+中学校国語+中学校数学の単純平均)
14,神奈川県,61,2024,全国学力・学習状況調査(文科省・2024年度、小学校国語+小学校算数+中学校国語+中学校数学の単純平均)
15,新潟県,58.8,2024,全国学力・学習状況調査(文科省・2024年度、小学校国語+小学校算数+中学校国語+中学校数学の単純平均)
16,富山県,62.3,2024,全国学力・学習状況調査(文科省・2024年度、小学校国語+小学校算数+中学校国語+中学校数学の単純平均)
17,石川県,64.5,2024,全国学力・学習状況調査(文科省・2024年度、小学校国語+小学校算数+中学校国語+中学校数学の単純平均)
18,福井県,63.8,2024,全国学力・学習状況調査(文科省・2024年度、小学校国語+小学校算数+中学校国語+中学校数学の単純平均)
19,山梨県,59.8,2024,全国学力・学習状況調査(文科省・2024年度、小学校国語+小学校算数+中学校国語+中学校数学の単純平均)
20,長野県,59.5,2024,全国学力・学習状況調査(文科省・2024年度、小学校国語+小学校算数+中学校国語+中学校数学の単純平均)
21,岐阜県,60,2024,全国学力・学習状況調査(文科省・2024年度、小学校国語+小学校算数+中学校国語+中学校数学の単純平均)
22,静岡県,60.8,2024,全国学力・学習状況調査(文科省・2024年度、小学校国語+小学校算数+中学校国語+中学校数学の単純平均)
23,愛知県,60.5,2024,全国学力・学習状況調査(文科省・2024年度、小学校国語+小学校算数+中学校国語+中学校数学の単純平均)
24,三重県,59.8,2024,全国学力・学習状況調査(文科省・2024年度、小学校国語+小学校算数+中学校国語+中学校数学の単純平均)
25,滋賀県,58.5,2024,全国学力・学習状況調査(文科省・2024年度、小学校国語+小学校算数+中学校国語+中学校数学の単純平均)
26,京都府,62.3,2024,全国学力・学習状況調査(文科省・2024年度、小学校国語+小学校算数+中学校国語+中学校数学の単純平均)
27,大阪府,59.3,2024,全国学力・学習状況調査(文科省・2024年度、小学校国語+小学校算数+中学校国語+中学校数学の単純平均)
28,兵庫県,61.5,2024,全国学力・学習状況調査(文科省・2024年度、小学校国語+小学校算数+中学校国語+中学校数学の単純平均)
29,奈良県,59.5,2024,全国学力・学習状況調査(文科省・2024年度、小学校国語+小学校算数+中学校国語+中学校数学の単純平均)
30,和歌山県,59.3,2024,全国学力・学習状況調査(文科省・2024年度、小学校国語+小学校算数+中学校国語+中学校数学の単純平均)
31,鳥取県,59.5,2024,全国学力・学習状況調査(文科省・2024年度、小学校国語+小学校算数+中学校国語+中学校数学の単純平均)
32,島根県,58.5,2024,全国学力・学習状況調査(文科省・2024年度、小学校国語+小学校算数+中学校国語+中学校数学の単純平均)
33,岡山県,60.5,2024,全国学力・学習状況調査(文科省・2024年度、小学校国語+小学校算数+中学校国語+中学校数学の単純平均)
34,広島県,60.8,2024,全国学力・学習状況調査(文科省・2024年度、小学校国語+小学校算数+中学校国語+中学校数学の単純平均)
35,山口県,60.5,2024,全国学力・学習状況調査(文科省・2024年度、小学校国語+小学校算数+中学校国語+中学校数学の単純平均)
36,徳島県,61,2024,全国学力・学習状況調査(文科省・2024年度、小学校国語+小学校算数+中学校国語+中学校数学の単純平均)
37,香川県,60.3,2024,全国学力・学習状況調査(文科省・2024年度、小学校国語+小学校算数+中学校国語+中学校数学の単純平均)
38,愛媛県,59.8,2024,全国学力・学習状況調査(文科省・2024年度、小学校国語+小学校算数+中学校国語+中学校数学の単純平均)
39,高知県,59.3,2024,全国学力・学習状況調査(文科省・2024年度、小学校国語+小学校算数+中学校国語+中学校数学の単純平均)
40,福岡県,60.5,2024,全国学力・学習状況調査(文科省・2024年度、小学校国語+小学校算数+中学校国語+中学校数学の単純平均)
41,佐賀県,57.8,2024,全国学力・学習状況調査(文科省・2024年度、小学校国語+小学校算数+中学校国語+中学校数学の単純平均)
42,長崎県,58.5,2024,全国学力・学習状況調査(文科省・2024年度、小学校国語+小学校算数+中学校国語+中学校数学の単純平均)
43,熊本県,59,2024,全国学力・学習状況調査(文科省・2024年度、小学校国語+小学校算数+中学校国語+中学校数学の単純平均)
44,大分県,60,2024,全国学力・学習状況調査(文科省・2024年度、小学校国語+小学校算数+中学校国語+中学校数学の単純平均)
45,宮崎県,57.8,2024,全国学力・学習状況調査(文科省・2024年度、小学校国語+小学校算数+中学校国語+中学校数学の単純平均)
46,鹿児島県,59.3,2024,全国学力・学習状況調査(文科省・2024年度、小学校国語+小学校算数+中学校国語+中学校数学の単純平均)
47,沖縄県,55,2024,全国学力・学習状況調査(文科省・2024年度、小学校国語+小学校算数+中学校国語+中学校数学の単純平均)
