都道府県コード,都道府県名,値,調査年,出典
01,北海道,16.3,2021,社会・人口統計体系 ボランティア活動の年間行動者率(10歳以上)(e-Stat 0000010207 #G041011)
02,青森県,14.0,2021,社会・人口統計体系 ボランティア活動の年間行動者率(10歳以上)(e-Stat 0000010207 #G041011)
03,岩手県,24.4,2021,社会・人口統計体系 ボランティア活動の年間行動者率(10歳以上)(e-Stat 0000010207 #G041011)
04,宮城県,20.7,2021,社会・人口統計体系 ボランティア活動の年間行動者率(10歳以上)(e-Stat 0000010207 #G041011)
05,秋田県,20.9,2021,社会・人口統計体系 ボランティア活動の年間行動者率(10歳以上)(e-Stat 0000010207 #G041011)
06,山形県,23.6,2021,社会・人口統計体系 ボランティア活動の年間行動者率(10歳以上)(e-Stat 0000010207 #G041011)
07,福島県,19.7,2021,社会・人口統計体系 ボランティア活動の年間行動者率(10歳以上)(e-Stat 0000010207 #G041011)
08,茨城県,17.1,2021,社会・人口統計体系 ボランティア活動の年間行動者率(10歳以上)(e-Stat 0000010207 #G041011)
09,栃木県,16.5,2021,社会・人口統計体系 ボランティア活動の年間行動者率(10歳以上)(e-Stat 0000010207 #G041011)
10,群馬県,19.2,2021,社会・人口統計体系 ボランティア活動の年間行動者率(10歳以上)(e-Stat 0000010207 #G041011)
11,埼玉県,15.6,2021,社会・人口統計体系 ボランティア活動の年間行動者率(10歳以上)(e-Stat 0000010207 #G041011)
12,千葉県,14.9,2021,社会・人口統計体系 ボランティア活動の年間行動者率(10歳以上)(e-Stat 0000010207 #G041011)
13,東京都,15.5,2021,社会・人口統計体系 ボランティア活動の年間行動者率(10歳以上)(e-Stat 0000010207 #G041011)
14,神奈川県,17.0,2021,社会・人口統計体系 ボランティア活動の年間行動者率(10歳以上)(e-Stat 0000010207 #G041011)
15,新潟県,19.3,2021,社会・人口統計体系 ボランティア活動の年間行動者率(10歳以上)(e-Stat 0000010207 #G041011)
16,富山県,19.5,2021,社会・人口統計体系 ボランティア活動の年間行動者率(10歳以上)(e-Stat 0000010207 #G041011)
17,石川県,20.7,2021,社会・人口統計体系 ボランティア活動の年間行動者率(10歳以上)(e-Stat 0000010207 #G041011)
18,福井県,21.7,2021,社会・人口統計体系 ボランティア活動の年間行動者率(10歳以上)(e-Stat 0000010207 #G041011)
19,山梨県,21.1,2021,社会・人口統計体系 ボランティア活動の年間行動者率(10歳以上)(e-Stat 0000010207 #G041011)
20,長野県,22.0,2021,社会・人口統計体系 ボランティア活動の年間行動者率(10歳以上)(e-Stat 0000010207 #G041011)
21,岐阜県,21.7,2021,社会・人口統計体系 ボランティア活動の年間行動者率(10歳以上)(e-Stat 0000010207 #G041011)
22,静岡県,18.9,2021,社会・人口統計体系 ボランティア活動の年間行動者率(10歳以上)(e-Stat 0000010207 #G041011)
23,愛知県,16.6,2021,社会・人口統計体系 ボランティア活動の年間行動者率(10歳以上)(e-Stat 0000010207 #G041011)
24,三重県,19.3,2021,社会・人口統計体系 ボランティア活動の年間行動者率(10歳以上)(e-Stat 0000010207 #G041011)
25,滋賀県,24.2,2021,社会・人口統計体系 ボランティア活動の年間行動者率(10歳以上)(e-Stat 0000010207 #G041011)
26,京都府,16.6,2021,社会・人口統計体系 ボランティア活動の年間行動者率(10歳以上)(e-Stat 0000010207 #G041011)
27,大阪府,14.5,2021,社会・人口統計体系 ボランティア活動の年間行動者率(10歳以上)(e-Stat 0000010207 #G041011)
28,兵庫県,17.7,2021,社会・人口統計体系 ボランティア活動の年間行動者率(10歳以上)(e-Stat 0000010207 #G041011)
29,奈良県,18.5,2021,社会・人口統計体系 ボランティア活動の年間行動者率(10歳以上)(e-Stat 0000010207 #G041011)
30,和歌山県,18.2,2021,社会・人口統計体系 ボランティア活動の年間行動者率(10歳以上)(e-Stat 0000010207 #G041011)
31,鳥取県,24.1,2021,社会・人口統計体系 ボランティア活動の年間行動者率(10歳以上)(e-Stat 0000010207 #G041011)
32,島根県,25.6,2021,社会・人口統計体系 ボランティア活動の年間行動者率(10歳以上)(e-Stat 0000010207 #G041011)
33,岡山県,23.2,2021,社会・人口統計体系 ボランティア活動の年間行動者率(10歳以上)(e-Stat 0000010207 #G041011)
