都道府県コード,都道府県名,値(%),調査年,出典
01,北海道,7.4,2009,厚労省 都道府県別献血率の推移(平成21年度・献血可能年齢人口ベース)
02,青森県,6.0,2009,厚労省 都道府県別献血率の推移(平成21年度・献血可能年齢人口ベース)
03,岩手県,6.4,2009,厚労省 都道府県別献血率の推移(平成21年度・献血可能年齢人口ベース)
04,宮城県,5.6,2009,厚労省 都道府県別献血率の推移(平成21年度・献血可能年齢人口ベース)
05,秋田県,7.0,2009,厚労省 都道府県別献血率の推移(平成21年度・献血可能年齢人口ベース)
06,山形県,5.5,2009,厚労省 都道府県別献血率の推移(平成21年度・献血可能年齢人口ベース)
07,福島県,6.7,2009,厚労省 都道府県別献血率の推移(平成21年度・献血可能年齢人口ベース)
08,茨城県,4.7,2009,厚労省 都道府県別献血率の推移(平成21年度・献血可能年齢人口ベース)
09,栃木県,5.9,2009,厚労省 都道府県別献血率の推移(平成21年度・献血可能年齢人口ベース)
10,群馬県,6.2,2009,厚労省 都道府県別献血率の推移(平成21年度・献血可能年齢人口ベース)
11,埼玉県,5.0,2009,厚労省 都道府県別献血率の推移(平成21年度・献血可能年齢人口ベース)
12,千葉県,5.5,2009,厚労省 都道府県別献血率の推移(平成21年度・献血可能年齢人口ベース)
13,東京都,6.5,2009,厚労省 都道府県別献血率の推移(平成21年度・献血可能年齢人口ベース)
14,神奈川県,4.8,2009,厚労省 都道府県別献血率の推移(平成21年度・献血可能年齢人口ベース)
15,新潟県,6.0,2009,厚労省 都道府県別献血率の推移(平成21年度・献血可能年齢人口ベース)
16,山梨県,5.9,2009,厚労省 都道府県別献血率の推移(平成21年度・献血可能年齢人口ベース)
17,富山県,5.3,2009,厚労省 都道府県別献血率の推移(平成21年度・献血可能年齢人口ベース)
18,石川県,6.5,2009,厚労省 都道府県別献血率の推移(平成21年度・献血可能年齢人口ベース)
19,福井県,6.2,2009,厚労省 都道府県別献血率の推移(平成21年度・献血可能年齢人口ベース)
20,長野県,5.7,2009,厚労省 都道府県別献血率の推移(平成21年度・献血可能年齢人口ベース)
21,岐阜県,5.2,2009,厚労省 都道府県別献血率の推移(平成21年度・献血可能年齢人口ベース)
22,静岡県,5.3,2009,厚労省 都道府県別献血率の推移(平成21年度・献血可能年齢人口ベース)
23,愛知県,5.9,2009,厚労省 都道府県別献血率の推移(平成21年度・献血可能年齢人口ベース)
24,三重県,4.4,2009,厚労省 都道府県別献血率の推移(平成21年度・献血可能年齢人口ベース)
25,滋賀県,4.6,2009,厚労省 都道府県別献血率の推移(平成21年度・献血可能年齢人口ベース)
26,京都府,6.2,2009,厚労省 都道府県別献血率の推移(平成21年度・献血可能年齢人口ベース)
27,大阪府,6.4,2009,厚労省 都道府県別献血率の推移(平成21年度・献血可能年齢人口ベース)
28,兵庫県,5.3,2009,厚労省 都道府県別献血率の推移(平成21年度・献血可能年齢人口ベース)
29,奈良県,5.5,2009,厚労省 都道府県別献血率の推移(平成21年度・献血可能年齢人口ベース)
30,和歌山県,6.5,2009,厚労省 都道府県別献血率の推移(平成21年度・献血可能年齢人口ベース)
31,鳥取県,6.3,2009,厚労省 都道府県別献血率の推移(平成21年度・献血可能年齢人口ベース)
32,島根県,5.8,2009,厚労省 都道府県別献血率の推移(平成21年度・献血可能年齢人口ベース)
33,岡山県,6.6,2009,厚労省 都道府県別献血率の推移(平成21年度・献血可能年齢人口ベース)
34,広島県,6.6,2009,厚労省 都道府県別献血率の推移(平成21年度・献血可能年齢人口ベース)
35,山口県,6.3,2009,厚労省 都道府県別献血率の推移(平成21年度・献血可能年齢人口ベース)
36,徳島県,6.1,2009,厚労省 都道府県別献血率の推移(平成21年度・献血可能年齢人口ベース)
37,香川県,6.1,2009,厚労省 都道府県別献血率の推移(平成21年度・献血可能年齢人口ベース)
38,愛媛県,6.5,2009,厚労省 都道府県別献血率の推移(平成21年度・献血可能年齢人口ベース)
39,高知県,7.7,2009,厚労省 都道府県別献血率の推移(平成21年度・献血可能年齢人口ベース)
40,福岡県,5.6,2009,厚労省 都道府県別献血率の推移(平成21年度・献血可能年齢人口ベース)
41,佐賀県,6.1,2009,厚労省 都道府県別献血率の推移(平成21年度・献血可能年齢人口ベース)
42,長崎県,6.8,2009,厚労省 都道府県別献血率の推移(平成21年度・献血可能年齢人口ベース)
43,熊本県,7.0,2009,厚労省 都道府県別献血率の推移(平成21年度・献血可能年齢人口ベース)
44,大分県,6.1,2009,厚労省 都道府県別献血率の推移(平成21年度・献血可能年齢人口ベース)
45,宮崎県,6.1,2009,厚労省 都道府県別献血率の推移(平成21年度・献血可能年齢人口ベース)
46,鹿児島県,6.5,2009,厚労省 都道府県別献血率の推移(平成21年度・献血可能年齢人口ベース)
47,沖縄県,6.2,2009,厚労省 都道府県別献血率の推移(平成21年度・献血可能年齢人口ベース)
