都道府県コード,都道府県名,値,調査年,出典
01,北海道,2.41,2020,令和2年国勢調査 3世代世帯割合(e-Stat 0003445080から算出)
02,青森県,8.42,2020,令和2年国勢調査 3世代世帯割合(e-Stat 0003445080から算出)
03,岩手県,9.56,2020,令和2年国勢調査 3世代世帯割合(e-Stat 0003445080から算出)
04,宮城県,6.88,2020,令和2年国勢調査 3世代世帯割合(e-Stat 0003445080から算出)
05,秋田県,10.29,2020,令和2年国勢調査 3世代世帯割合(e-Stat 0003445080から算出)
06,山形県,13.92,2020,令和2年国勢調査 3世代世帯割合(e-Stat 0003445080から算出)
07,福島県,9.33,2020,令和2年国勢調査 3世代世帯割合(e-Stat 0003445080から算出)
08,茨城県,6.78,2020,令和2年国勢調査 3世代世帯割合(e-Stat 0003445080から算出)
09,栃木県,7.14,2020,令和2年国勢調査 3世代世帯割合(e-Stat 0003445080から算出)
10,群馬県,5.44,2020,令和2年国勢調査 3世代世帯割合(e-Stat 0003445080から算出)
11,埼玉県,3.35,2020,令和2年国勢調査 3世代世帯割合(e-Stat 0003445080から算出)
12,千葉県,3.46,2020,令和2年国勢調査 3世代世帯割合(e-Stat 0003445080から算出)
13,東京都,1.35,2020,令和2年国勢調査 3世代世帯割合(e-Stat 0003445080から算出)
14,神奈川県,2.22,2020,令和2年国勢調査 3世代世帯割合(e-Stat 0003445080から算出)
15,新潟県,10.49,2020,令和2年国勢調査 3世代世帯割合(e-Stat 0003445080から算出)
16,富山県,10.08,2020,令和2年国勢調査 3世代世帯割合(e-Stat 0003445080から算出)
17,石川県,6.65,2020,令和2年国勢調査 3世代世帯割合(e-Stat 0003445080から算出)
18,福井県,11.49,2020,令和2年国勢調査 3世代世帯割合(e-Stat 0003445080から算出)
19,山梨県,5.98,2020,令和2年国勢調査 3世代世帯割合(e-Stat 0003445080から算出)
20,長野県,7.63,2020,令和2年国勢調査 3世代世帯割合(e-Stat 0003445080から算出)
21,岐阜県,8.24,2020,令和2年国勢調査 3世代世帯割合(e-Stat 0003445080から算出)
22,静岡県,7.40,2020,令和2年国勢調査 3世代世帯割合(e-Stat 0003445080から算出)
23,愛知県,4.52,2020,令和2年国勢調査 3世代世帯割合(e-Stat 0003445080から算出)
24,三重県,5.43,2020,令和2年国勢調査 3世代世帯割合(e-Stat 0003445080から算出)
25,滋賀県,6.31,2020,令和2年国勢調査 3世代世帯割合(e-Stat 0003445080から算出)
26,京都府,3.04,2020,令和2年国勢調査 3世代世帯割合(e-Stat 0003445080から算出)
27,大阪府,2.10,2020,令和2年国勢調査 3世代世帯割合(e-Stat 0003445080から算出)
28,兵庫県,3.28,2020,令和2年国勢調査 3世代世帯割合(e-Stat 0003445080から算出)
29,奈良県,4.60,2020,令和2年国勢調査 3世代世帯割合(e-Stat 0003445080から算出)
30,和歌山県,4.44,2020,令和2年国勢調査 3世代世帯割合(e-Stat 0003445080から算出)
31,鳥取県,9.42,2020,令和2年国勢調査 3世代世帯割合(e-Stat 0003445080から算出)
32,島根県,9.15,2020,令和2年国勢調査 3世代世帯割合(e-Stat 0003445080から算出)
33,岡山県,5.25,2020,令和2年国勢調査 3世代世帯割合(e-Stat 0003445080から算出)
34,広島県,3.34,2020,令和2年国勢調査 3世代世帯割合(e-Stat 0003445080から算出)
35,山口県,3.48,2020,令和2年国勢調査 3世代世帯割合(e-Stat 0003445080から算出)
36,徳島県,5.71,2020,令和2年国勢調査 3世代世帯割合(e-Stat 0003445080から算出)
37,香川県,4.70,2020,令和2年国勢調査 3世代世帯割合(e-Stat 0003445080から算出)
38,愛媛県,3.48,2020,令和2年国勢調査 3世代世帯割合(e-Stat 0003445080から算出)
39,高知県,3.36,2020,令和2年国勢調査 3世代世帯割合(e-Stat 0003445080から算出)
40,福岡県,3.30,2020,令和2年国勢調査 3世代世帯割合(e-Stat 0003445080から算出)
41,佐賀県,9.13,2020,令和2年国勢調査 3世代世帯割合(e-Stat 0003445080から算出)
42,長崎県,4.98,2020,令和2年国勢調査 3世代世帯割合(e-Stat 0003445080から算出)
43,熊本県,6.10,2020,令和2年国勢調査 3世代世帯割合(e-Stat 0003445080から算出)
44,大分県,4.38,2020,令和2年国勢調査 3世代世帯割合(e-Stat 0003445080から算出)
45,宮崎県,3.44,2020,令和2年国勢調査 3世代世帯割合(e-Stat 0003445080から算出)
46,鹿児島県,1.93,2020,令和2年国勢調査 3世代世帯割合(e-Stat 0003445080から算出)
47,沖縄県,3.23,2020,令和2年国勢調査 3世代世帯割合(e-Stat 0003445080から算出)
