都道府県コード,都道府県名,値,調査年,出典
01,北海道,9.3,2024,社会・人口統計体系 教養娯楽費割合(二人以上の世帯)(e-Stat 0000010212 #L02419)
02,青森県,8.3,2024,社会・人口統計体系 教養娯楽費割合(二人以上の世帯)(e-Stat 0000010212 #L02419)
03,岩手県,8.7,2024,社会・人口統計体系 教養娯楽費割合(二人以上の世帯)(e-Stat 0000010212 #L02419)
04,宮城県,8.3,2024,社会・人口統計体系 教養娯楽費割合(二人以上の世帯)(e-Stat 0000010212 #L02419)
05,秋田県,8.8,2024,社会・人口統計体系 教養娯楽費割合(二人以上の世帯)(e-Stat 0000010212 #L02419)
06,山形県,9.4,2024,社会・人口統計体系 教養娯楽費割合(二人以上の世帯)(e-Stat 0000010212 #L02419)
07,福島県,8.7,2024,社会・人口統計体系 教養娯楽費割合(二人以上の世帯)(e-Stat 0000010212 #L02419)
08,茨城県,9.6,2024,社会・人口統計体系 教養娯楽費割合(二人以上の世帯)(e-Stat 0000010212 #L02419)
09,栃木県,8.8,2024,社会・人口統計体系 教養娯楽費割合(二人以上の世帯)(e-Stat 0000010212 #L02419)
10,群馬県,10.1,2024,社会・人口統計体系 教養娯楽費割合(二人以上の世帯)(e-Stat 0000010212 #L02419)
11,埼玉県,10.8,2024,社会・人口統計体系 教養娯楽費割合(二人以上の世帯)(e-Stat 0000010212 #L02419)
12,千葉県,9.7,2024,社会・人口統計体系 教養娯楽費割合(二人以上の世帯)(e-Stat 0000010212 #L02419)
13,東京都,11.0,2024,社会・人口統計体系 教養娯楽費割合(二人以上の世帯)(e-Stat 0000010212 #L02419)
14,神奈川県,10.7,2024,社会・人口統計体系 教養娯楽費割合(二人以上の世帯)(e-Stat 0000010212 #L02419)
15,新潟県,7.8,2024,社会・人口統計体系 教養娯楽費割合(二人以上の世帯)(e-Stat 0000010212 #L02419)
16,富山県,9.5,2024,社会・人口統計体系 教養娯楽費割合(二人以上の世帯)(e-Stat 0000010212 #L02419)
17,石川県,8.6,2024,社会・人口統計体系 教養娯楽費割合(二人以上の世帯)(e-Stat 0000010212 #L02419)
18,福井県,7.6,2024,社会・人口統計体系 教養娯楽費割合(二人以上の世帯)(e-Stat 0000010212 #L02419)
19,山梨県,8.9,2024,社会・人口統計体系 教養娯楽費割合(二人以上の世帯)(e-Stat 0000010212 #L02419)
20,長野県,9.5,2024,社会・人口統計体系 教養娯楽費割合(二人以上の世帯)(e-Stat 0000010212 #L02419)
21,岐阜県,10.5,2024,社会・人口統計体系 教養娯楽費割合(二人以上の世帯)(e-Stat 0000010212 #L02419)
22,静岡県,8.5,2024,社会・人口統計体系 教養娯楽費割合(二人以上の世帯)(e-Stat 0000010212 #L02419)
23,愛知県,10.6,2024,社会・人口統計体系 教養娯楽費割合(二人以上の世帯)(e-Stat 0000010212 #L02419)
24,三重県,10.0,2024,社会・人口統計体系 教養娯楽費割合(二人以上の世帯)(e-Stat 0000010212 #L02419)
25,滋賀県,9.8,2024,社会・人口統計体系 教養娯楽費割合(二人以上の世帯)(e-Stat 0000010212 #L02419)
26,京都府,10.6,2024,社会・人口統計体系 教養娯楽費割合(二人以上の世帯)(e-Stat 0000010212 #L02419)
27,大阪府,9.7,2024,社会・人口統計体系 教養娯楽費割合(二人以上の世帯)(e-Stat 0000010212 #L02419)
28,兵庫県,10.3,2024,社会・人口統計体系 教養娯楽費割合(二人以上の世帯)(e-Stat 0000010212 #L02419)
29,奈良県,10.0,2024,社会・人口統計体系 教養娯楽費割合(二人以上の世帯)(e-Stat 0000010212 #L02419)
30,和歌山県,9.9,2024,社会・人口統計体系 教養娯楽費割合(二人以上の世帯)(e-Stat 0000010212 #L02419)
31,鳥取県,8.8,2024,社会・人口統計体系 教養娯楽費割合(二人以上の世帯)(e-Stat 0000010212 #L02419)
32,島根県,9.5,2024,社会・人口統計体系 教養娯楽費割合(二人以上の世帯)(e-Stat 0000010212 #L02419)
33,岡山県,9.8,2024,社会・人口統計体系 教養娯楽費割合(二人以上の世帯)(e-Stat 0000010212 #L02419)
34,広島県,10.0,2024,社会・人口統計体系 教養娯楽費割合(二人以上の世帯)(e-Stat 0000010212 #L02419)
35,山口県,8.9,2024,社会・人口統計体系 教養娯楽費割合(二人以上の世帯)(e-Stat 0000010212 #L02419)
36,徳島県,9.8,2024,社会・人口統計体系 教養娯楽費割合(二人以上の世帯)(e-Stat 0000010212 #L02419)
37,香川県,8.1,2024,社会・人口統計体系 教養娯楽費割合(二人以上の世帯)(e-Stat 0000010212 #L02419)
38,愛媛県,8.5,2024,社会・人口統計体系 教養娯楽費割合(二人以上の世帯)(e-Stat 0000010212 #L02419)
39,高知県,7.6,2024,社会・人口統計体系 教養娯楽費割合(二人以上の世帯)(e-Stat 0000010212 #L02419)
40,福岡県,10.6,2024,社会・人口統計体系 教養娯楽費割合(二人以上の世帯)(e-Stat 0000010212 #L02419)
41,佐賀県,8.6,2024,社会・人口統計体系 教養娯楽費割合(二人以上の世帯)(e-Stat 0000010212 #L02419)
42,長崎県,7.5,2024,社会・人口統計体系 教養娯楽費割合(二人以上の世帯)(e-Stat 0000010212 #L02419)
43,熊本県,8.6,2024,社会・人口統計体系 教養娯楽費割合(二人以上の世帯)(e-Stat 0000010212 #L02419)
44,大分県,8.0,2024,社会・人口統計体系 教養娯楽費割合(二人以上の世帯)(e-Stat 0000010212 #L02419)
45,宮崎県,9.1,2024,社会・人口統計体系 教養娯楽費割合(二人以上の世帯)(e-Stat 0000010212 #L02419)
46,鹿児島県,8.9,2024,社会・人口統計体系 教養娯楽費割合(二人以上の世帯)(e-Stat 0000010212 #L02419)
47,沖縄県,8.1,2024,社会・人口統計体系 教養娯楽費割合(二人以上の世帯)(e-Stat 0000010212 #L02419)
