都道府県コード,都道府県名,値,調査年,出典
01,北海道,14173,2006,社会・人口統計体系 書籍・雑誌小売業年間商品販売額(人口1人当たり)(e-Stat 0000010207 #G05102)
02,青森県,13275,2006,社会・人口統計体系 書籍・雑誌小売業年間商品販売額(人口1人当たり)(e-Stat 0000010207 #G05102)
03,岩手県,11436,2006,社会・人口統計体系 書籍・雑誌小売業年間商品販売額(人口1人当たり)(e-Stat 0000010207 #G05102)
04,宮城県,14752,2006,社会・人口統計体系 書籍・雑誌小売業年間商品販売額(人口1人当たり)(e-Stat 0000010207 #G05102)
05,秋田県,12070,2006,社会・人口統計体系 書籍・雑誌小売業年間商品販売額(人口1人当たり)(e-Stat 0000010207 #G05102)
06,山形県,13594,2006,社会・人口統計体系 書籍・雑誌小売業年間商品販売額(人口1人当たり)(e-Stat 0000010207 #G05102)
07,福島県,12573,2006,社会・人口統計体系 書籍・雑誌小売業年間商品販売額(人口1人当たり)(e-Stat 0000010207 #G05102)
08,茨城県,9748,2006,社会・人口統計体系 書籍・雑誌小売業年間商品販売額(人口1人当たり)(e-Stat 0000010207 #G05102)
09,栃木県,13301,2006,社会・人口統計体系 書籍・雑誌小売業年間商品販売額(人口1人当たり)(e-Stat 0000010207 #G05102)
10,群馬県,13465,2006,社会・人口統計体系 書籍・雑誌小売業年間商品販売額(人口1人当たり)(e-Stat 0000010207 #G05102)
11,埼玉県,12841,2006,社会・人口統計体系 書籍・雑誌小売業年間商品販売額(人口1人当たり)(e-Stat 0000010207 #G05102)
12,千葉県,12122,2006,社会・人口統計体系 書籍・雑誌小売業年間商品販売額(人口1人当たり)(e-Stat 0000010207 #G05102)
13,東京都,40070,2006,社会・人口統計体系 書籍・雑誌小売業年間商品販売額(人口1人当たり)(e-Stat 0000010207 #G05102)
14,神奈川県,15003,2006,社会・人口統計体系 書籍・雑誌小売業年間商品販売額(人口1人当たり)(e-Stat 0000010207 #G05102)
15,新潟県,17355,2006,社会・人口統計体系 書籍・雑誌小売業年間商品販売額(人口1人当たり)(e-Stat 0000010207 #G05102)
16,富山県,16693,2006,社会・人口統計体系 書籍・雑誌小売業年間商品販売額(人口1人当たり)(e-Stat 0000010207 #G05102)
17,石川県,17236,2006,社会・人口統計体系 書籍・雑誌小売業年間商品販売額(人口1人当たり)(e-Stat 0000010207 #G05102)
18,福井県,15776,2006,社会・人口統計体系 書籍・雑誌小売業年間商品販売額(人口1人当たり)(e-Stat 0000010207 #G05102)
19,山梨県,10531,2006,社会・人口統計体系 書籍・雑誌小売業年間商品販売額(人口1人当たり)(e-Stat 0000010207 #G05102)
20,長野県,15066,2006,社会・人口統計体系 書籍・雑誌小売業年間商品販売額(人口1人当たり)(e-Stat 0000010207 #G05102)
21,岐阜県,13025,2006,社会・人口統計体系 書籍・雑誌小売業年間商品販売額(人口1人当たり)(e-Stat 0000010207 #G05102)
22,静岡県,12558,2006,社会・人口統計体系 書籍・雑誌小売業年間商品販売額(人口1人当たり)(e-Stat 0000010207 #G05102)
23,愛知県,18680,2006,社会・人口統計体系 書籍・雑誌小売業年間商品販売額(人口1人当たり)(e-Stat 0000010207 #G05102)
24,三重県,11396,2006,社会・人口統計体系 書籍・雑誌小売業年間商品販売額(人口1人当たり)(e-Stat 0000010207 #G05102)
25,滋賀県,12783,2006,社会・人口統計体系 書籍・雑誌小売業年間商品販売額(人口1人当たり)(e-Stat 0000010207 #G05102)
26,京都府,17369,2006,社会・人口統計体系 書籍・雑誌小売業年間商品販売額(人口1人当たり)(e-Stat 0000010207 #G05102)
27,大阪府,17934,2006,社会・人口統計体系 書籍・雑誌小売業年間商品販売額(人口1人当たり)(e-Stat 0000010207 #G05102)
28,兵庫県,13810,2006,社会・人口統計体系 書籍・雑誌小売業年間商品販売額(人口1人当たり)(e-Stat 0000010207 #G05102)
