都道府県コード,都道府県名,値,調査年,出典
01,北海道,52.7,2023,社会・人口統計体系 高等学校卒業者の進学率(e-Stat 0000010205 #E09402)
02,青森県,54.2,2023,社会・人口統計体系 高等学校卒業者の進学率(e-Stat 0000010205 #E09402)
03,岩手県,49.9,2023,社会・人口統計体系 高等学校卒業者の進学率(e-Stat 0000010205 #E09402)
04,宮城県,55.6,2023,社会・人口統計体系 高等学校卒業者の進学率(e-Stat 0000010205 #E09402)
05,秋田県,49.4,2023,社会・人口統計体系 高等学校卒業者の進学率(e-Stat 0000010205 #E09402)
06,山形県,51.0,2023,社会・人口統計体系 高等学校卒業者の進学率(e-Stat 0000010205 #E09402)
07,福島県,50.9,2023,社会・人口統計体系 高等学校卒業者の進学率(e-Stat 0000010205 #E09402)
08,茨城県,57.4,2023,社会・人口統計体系 高等学校卒業者の進学率(e-Stat 0000010205 #E09402)
09,栃木県,56.9,2023,社会・人口統計体系 高等学校卒業者の進学率(e-Stat 0000010205 #E09402)
10,群馬県,57.4,2023,社会・人口統計体系 高等学校卒業者の進学率(e-Stat 0000010205 #E09402)
11,埼玉県,65.8,2023,社会・人口統計体系 高等学校卒業者の進学率(e-Stat 0000010205 #E09402)
12,千葉県,64.7,2023,社会・人口統計体系 高等学校卒業者の進学率(e-Stat 0000010205 #E09402)
13,東京都,74.1,2023,社会・人口統計体系 高等学校卒業者の進学率(e-Stat 0000010205 #E09402)
14,神奈川県,69.4,2023,社会・人口統計体系 高等学校卒業者の進学率(e-Stat 0000010205 #E09402)
15,新潟県,53.7,2023,社会・人口統計体系 高等学校卒業者の進学率(e-Stat 0000010205 #E09402)
16,富山県,58.4,2023,社会・人口統計体系 高等学校卒業者の進学率(e-Stat 0000010205 #E09402)
17,石川県,62.7,2023,社会・人口統計体系 高等学校卒業者の進学率(e-Stat 0000010205 #E09402)
18,福井県,61.2,2023,社会・人口統計体系 高等学校卒業者の進学率(e-Stat 0000010205 #E09402)
19,山梨県,62.4,2023,社会・人口統計体系 高等学校卒業者の進学率(e-Stat 0000010205 #E09402)
20,長野県,55.3,2023,社会・人口統計体系 高等学校卒業者の進学率(e-Stat 0000010205 #E09402)
21,岐阜県,61.1,2023,社会・人口統計体系 高等学校卒業者の進学率(e-Stat 0000010205 #E09402)
22,静岡県,58.1,2023,社会・人口統計体系 高等学校卒業者の進学率(e-Stat 0000010205 #E09402)
23,愛知県,64.0,2023,社会・人口統計体系 高等学校卒業者の進学率(e-Stat 0000010205 #E09402)
24,三重県,55.4,2023,社会・人口統計体系 高等学校卒業者の進学率(e-Stat 0000010205 #E09402)
25,滋賀県,61.7,2023,社会・人口統計体系 高等学校卒業者の進学率(e-Stat 0000010205 #E09402)
26,京都府,74.0,2023,社会・人口統計体系 高等学校卒業者の進学率(e-Stat 0000010205 #E09402)
27,大阪府,68.9,2023,社会・人口統計体系 高等学校卒業者の進学率(e-Stat 0000010205 #E09402)
28,兵庫県,68.5,2023,社会・人口統計体系 高等学校卒業者の進学率(e-Stat 0000010205 #E09402)
29,奈良県,65.2,2023,社会・人口統計体系 高等学校卒業者の進学率(e-Stat 0000010205 #E09402)
30,和歌山県,57.1,2023,社会・人口統計体系 高等学校卒業者の進学率(e-Stat 0000010205 #E09402)
31,鳥取県,51.4,2023,社会・人口統計体系 高等学校卒業者の進学率(e-Stat 0000010205 #E09402)
32,島根県,50.1,2023,社会・人口統計体系 高等学校卒業者の進学率(e-Stat 0000010205 #E09402)
33,岡山県,56.8,2023,社会・人口統計体系 高等学校卒業者の進学率(e-Stat 0000010205 #E09402)
34,広島県,65.7,2023,社会・人口統計体系 高等学校卒業者の進学率(e-Stat 0000010205 #E09402)
35,山口県,48.5,2023,社会・人口統計体系 高等学校卒業者の進学率(e-Stat 0000010205 #E09402)
36,徳島県,59.7,2023,社会・人口統計体系 高等学校卒業者の進学率(e-Stat 0000010205 #E09402)
37,香川県,58.4,2023,社会・人口統計体系 高等学校卒業者の進学率(e-Stat 0000010205 #E09402)
38,愛媛県,57.7,2023,社会・人口統計体系 高等学校卒業者の進学率(e-Stat 0000010205 #E09402)
39,高知県,57.7,2023,社会・人口統計体系 高等学校卒業者の進学率(e-Stat 0000010205 #E09402)
40,福岡県,58.7,2023,社会・人口統計体系 高等学校卒業者の進学率(e-Stat 0000010205 #E09402)
41,佐賀県,48.4,2023,社会・人口統計体系 高等学校卒業者の進学率(e-Stat 0000010205 #E09402)
42,長崎県,49.7,2023,社会・人口統計体系 高等学校卒業者の進学率(e-Stat 0000010205 #E09402)
43,熊本県,50.4,2023,社会・人口統計体系 高等学校卒業者の進学率(e-Stat 0000010205 #E09402)
44,大分県,52.1,2023,社会・人口統計体系 高等学校卒業者の進学率(e-Stat 0000010205 #E09402)
45,宮崎県,48.0,2023,社会・人口統計体系 高等学校卒業者の進学率(e-Stat 0000010205 #E09402)
46,鹿児島県,48.1,2023,社会・人口統計体系 高等学校卒業者の進学率(e-Stat 0000010205 #E09402)
47,沖縄県,46.7,2023,社会・人口統計体系 高等学校卒業者の進学率(e-Stat 0000010205 #E09402)
