都道府県コード,都道府県名,値(%),調査年,出典
01,北海道,20.71,2020,社会・人口統計体系 共働き世帯割合(e-Stat 0000010206 #F01503)
02,青森県,26.99,2020,社会・人口統計体系 共働き世帯割合(e-Stat 0000010206 #F01503)
03,岩手県,28.70,2020,社会・人口統計体系 共働き世帯割合(e-Stat 0000010206 #F01503)
04,宮城県,24.59,2020,社会・人口統計体系 共働き世帯割合(e-Stat 0000010206 #F01503)
05,秋田県,29.38,2020,社会・人口統計体系 共働き世帯割合(e-Stat 0000010206 #F01503)
06,山形県,34.40,2020,社会・人口統計体系 共働き世帯割合(e-Stat 0000010206 #F01503)
07,福島県,27.37,2020,社会・人口統計体系 共働き世帯割合(e-Stat 0000010206 #F01503)
08,茨城県,26.72,2020,社会・人口統計体系 共働き世帯割合(e-Stat 0000010206 #F01503)
09,栃木県,27.39,2020,社会・人口統計体系 共働き世帯割合(e-Stat 0000010206 #F01503)
10,群馬県,28.41,2020,社会・人口統計体系 共働き世帯割合(e-Stat 0000010206 #F01503)
11,埼玉県,24.26,2020,社会・人口統計体系 共働き世帯割合(e-Stat 0000010206 #F01503)
12,千葉県,23.13,2020,社会・人口統計体系 共働き世帯割合(e-Stat 0000010206 #F01503)
13,東京都,17.43,2020,社会・人口統計体系 共働き世帯割合(e-Stat 0000010206 #F01503)
14,神奈川県,21.87,2020,社会・人口統計体系 共働き世帯割合(e-Stat 0000010206 #F01503)
15,新潟県,31.03,2020,社会・人口統計体系 共働き世帯割合(e-Stat 0000010206 #F01503)
16,富山県,32.83,2020,社会・人口統計体系 共働き世帯割合(e-Stat 0000010206 #F01503)
17,石川県,29.99,2020,社会・人口統計体系 共働き世帯割合(e-Stat 0000010206 #F01503)
18,福井県,34.69,2020,社会・人口統計体系 共働き世帯割合(e-Stat 0000010206 #F01503)
19,山梨県,29.25,2020,社会・人口統計体系 共働き世帯割合(e-Stat 0000010206 #F01503)
20,長野県,31.40,2020,社会・人口統計体系 共働き世帯割合(e-Stat 0000010206 #F01503)
21,岐阜県,30.87,2020,社会・人口統計体系 共働き世帯割合(e-Stat 0000010206 #F01503)
22,静岡県,29.00,2020,社会・人口統計体系 共働き世帯割合(e-Stat 0000010206 #F01503)
23,愛知県,25.84,2020,社会・人口統計体系 共働き世帯割合(e-Stat 0000010206 #F01503)
24,三重県,27.63,2020,社会・人口統計体系 共働き世帯割合(e-Stat 0000010206 #F01503)
25,滋賀県,28.53,2020,社会・人口統計体系 共働き世帯割合(e-Stat 0000010206 #F01503)
26,京都府,20.57,2020,社会・人口統計体系 共働き世帯割合(e-Stat 0000010206 #F01503)
27,大阪府,18.75,2020,社会・人口統計体系 共働き世帯割合(e-Stat 0000010206 #F01503)
28,兵庫県,22.79,2020,社会・人口統計体系 共働き世帯割合(e-Stat 0000010206 #F01503)
29,奈良県,24.07,2020,社会・人口統計体系 共働き世帯割合(e-Stat 0000010206 #F01503)
30,和歌山県,25.77,2020,社会・人口統計体系 共働き世帯割合(e-Stat 0000010206 #F01503)
31,鳥取県,30.00,2020,社会・人口統計体系 共働き世帯割合(e-Stat 0000010206 #F01503)
32,島根県,31.22,2020,社会・人口統計体系 共働き世帯割合(e-Stat 0000010206 #F01503)
33,岡山県,25.73,2020,社会・人口統計体系 共働き世帯割合(e-Stat 0000010206 #F01503)
34,広島県,24.96,2020,社会・人口統計体系 共働き世帯割合(e-Stat 0000010206 #F01503)
35,山口県,24.06,2020,社会・人口統計体系 共働き世帯割合(e-Stat 0000010206 #F01503)
36,徳島県,25.92,2020,社会・人口統計体系 共働き世帯割合(e-Stat 0000010206 #F01503)
37,香川県,26.45,2020,社会・人口統計体系 共働き世帯割合(e-Stat 0000010206 #F01503)
38,愛媛県,23.79,2020,社会・人口統計体系 共働き世帯割合(e-Stat 0000010206 #F01503)
39,高知県,23.38,2020,社会・人口統計体系 共働き世帯割合(e-Stat 0000010206 #F01503)
40,福岡県,21.60,2020,社会・人口統計体系 共働き世帯割合(e-Stat 0000010206 #F01503)
41,佐賀県,30.93,2020,社会・人口統計体系 共働き世帯割合(e-Stat 0000010206 #F01503)
42,長崎県,26.00,2020,社会・人口統計体系 共働き世帯割合(e-Stat 0000010206 #F01503)
43,熊本県,27.55,2020,社会・人口統計体系 共働き世帯割合(e-Stat 0000010206 #F01503)
44,大分県,25.44,2020,社会・人口統計体系 共働き世帯割合(e-Stat 0000010206 #F01503)
45,宮崎県,26.52,2020,社会・人口統計体系 共働き世帯割合(e-Stat 0000010206 #F01503)
46,鹿児島県,24.89,2020,社会・人口統計体系 共働き世帯割合(e-Stat 0000010206 #F01503)
47,沖縄県,20.64,2020,社会・人口統計体系 共働き世帯割合(e-Stat 0000010206 #F01503)
