都道府県コード,都道府県名,値(%),調査年,出典
01,北海道,1.06,2024,社会・人口統計体系 転入率(日本人移動者)(e-Stat 0000010201 #A05308)
02,青森県,1.37,2024,社会・人口統計体系 転入率(日本人移動者)(e-Stat 0000010201 #A05308)
03,岩手県,1.36,2024,社会・人口統計体系 転入率(日本人移動者)(e-Stat 0000010201 #A05308)
04,宮城県,1.94,2024,社会・人口統計体系 転入率(日本人移動者)(e-Stat 0000010201 #A05308)
05,秋田県,1.12,2024,社会・人口統計体系 転入率(日本人移動者)(e-Stat 0000010201 #A05308)
06,山形県,1.19,2024,社会・人口統計体系 転入率(日本人移動者)(e-Stat 0000010201 #A05308)
07,福島県,1.35,2024,社会・人口統計体系 転入率(日本人移動者)(e-Stat 0000010201 #A05308)
08,茨城県,1.97,2024,社会・人口統計体系 転入率(日本人移動者)(e-Stat 0000010201 #A05308)
09,栃木県,2.00,2024,社会・人口統計体系 転入率(日本人移動者)(e-Stat 0000010201 #A05308)
10,群馬県,1.94,2024,社会・人口統計体系 転入率(日本人移動者)(e-Stat 0000010201 #A05308)
11,埼玉県,2.57,2024,社会・人口統計体系 転入率(日本人移動者)(e-Stat 0000010201 #A05308)
12,千葉県,2.62,2024,社会・人口統計体系 転入率(日本人移動者)(e-Stat 0000010201 #A05308)
13,東京都,3.25,2024,社会・人口統計体系 転入率(日本人移動者)(e-Stat 0000010201 #A05308)
14,神奈川県,2.54,2024,社会・人口統計体系 転入率(日本人移動者)(e-Stat 0000010201 #A05308)
15,新潟県,1.07,2024,社会・人口統計体系 転入率(日本人移動者)(e-Stat 0000010201 #A05308)
16,富山県,1.38,2024,社会・人口統計体系 転入率(日本人移動者)(e-Stat 0000010201 #A05308)
17,石川県,1.65,2024,社会・人口統計体系 転入率(日本人移動者)(e-Stat 0000010201 #A05308)
18,福井県,1.43,2024,社会・人口統計体系 転入率(日本人移動者)(e-Stat 0000010201 #A05308)
19,山梨県,1.98,2024,社会・人口統計体系 転入率(日本人移動者)(e-Stat 0000010201 #A05308)
20,長野県,1.56,2024,社会・人口統計体系 転入率(日本人移動者)(e-Stat 0000010201 #A05308)
21,岐阜県,1.64,2024,社会・人口統計体系 転入率(日本人移動者)(e-Stat 0000010201 #A05308)
22,静岡県,1.60,2024,社会・人口統計体系 転入率(日本人移動者)(e-Stat 0000010201 #A05308)
23,愛知県,1.63,2024,社会・人口統計体系 転入率(日本人移動者)(e-Stat 0000010201 #A05308)
24,三重県,1.74,2024,社会・人口統計体系 転入率(日本人移動者)(e-Stat 0000010201 #A05308)
25,滋賀県,2.14,2024,社会・人口統計体系 転入率(日本人移動者)(e-Stat 0000010201 #A05308)
26,京都府,2.29,2024,社会・人口統計体系 転入率(日本人移動者)(e-Stat 0000010201 #A05308)
27,大阪府,2.10,2024,社会・人口統計体系 転入率(日本人移動者)(e-Stat 0000010201 #A05308)
28,兵庫県,1.73,2024,社会・人口統計体系 転入率(日本人移動者)(e-Stat 0000010201 #A05308)
29,奈良県,1.82,2024,社会・人口統計体系 転入率(日本人移動者)(e-Stat 0000010201 #A05308)
30,和歌山県,1.31,2024,社会・人口統計体系 転入率(日本人移動者)(e-Stat 0000010201 #A05308)
31,鳥取県,1.51,2024,社会・人口統計体系 転入率(日本人移動者)(e-Stat 0000010201 #A05308)
32,島根県,1.59,2024,社会・人口統計体系 転入率(日本人移動者)(e-Stat 0000010201 #A05308)
33,岡山県,1.53,2024,社会・人口統計体系 転入率(日本人移動者)(e-Stat 0000010201 #A05308)
34,広島県,1.60,2024,社会・人口統計体系 転入率(日本人移動者)(e-Stat 0000010201 #A05308)
35,山口県,1.70,2024,社会・人口統計体系 転入率(日本人移動者)(e-Stat 0000010201 #A05308)
36,徳島県,1.28,2024,社会・人口統計体系 転入率(日本人移動者)(e-Stat 0000010201 #A05308)
37,香川県,1.76,2024,社会・人口統計体系 転入率(日本人移動者)(e-Stat 0000010201 #A05308)
38,愛媛県,1.34,2024,社会・人口統計体系 転入率(日本人移動者)(e-Stat 0000010201 #A05308)
39,高知県,1.27,2024,社会・人口統計体系 転入率(日本人移動者)(e-Stat 0000010201 #A05308)
40,福岡県,2.02,2024,社会・人口統計体系 転入率(日本人移動者)(e-Stat 0000010201 #A05308)
41,佐賀県,1.96,2024,社会・人口統計体系 転入率(日本人移動者)(e-Stat 0000010201 #A05308)
42,長崎県,1.77,2024,社会・人口統計体系 転入率(日本人移動者)(e-Stat 0000010201 #A05308)
43,熊本県,1.75,2024,社会・人口統計体系 転入率(日本人移動者)(e-Stat 0000010201 #A05308)
44,大分県,1.79,2024,社会・人口統計体系 転入率(日本人移動者)(e-Stat 0000010201 #A05308)
45,宮崎県,1.80,2024,社会・人口統計体系 転入率(日本人移動者)(e-Stat 0000010201 #A05308)
46,鹿児島県,1.65,2024,社会・人口統計体系 転入率(日本人移動者)(e-Stat 0000010201 #A05308)
47,沖縄県,1.91,2024,社会・人口統計体系 転入率(日本人移動者)(e-Stat 0000010201 #A05308)
