都道府県コード,都道府県名,値(件),調査年,出典
01,北海道,17.4,2024,社会・人口統計体系 一般旅券発行件数(人口千人当たり)(e-Stat 0000010207 #G0430501)
02,青森県,10.6,2024,社会・人口統計体系 一般旅券発行件数(人口千人当たり)(e-Stat 0000010207 #G0430501)
03,岩手県,11.3,2024,社会・人口統計体系 一般旅券発行件数(人口千人当たり)(e-Stat 0000010207 #G0430501)
04,宮城県,17.4,2024,社会・人口統計体系 一般旅券発行件数(人口千人当たり)(e-Stat 0000010207 #G0430501)
05,秋田県,10.3,2024,社会・人口統計体系 一般旅券発行件数(人口千人当たり)(e-Stat 0000010207 #G0430501)
06,山形県,14.0,2024,社会・人口統計体系 一般旅券発行件数(人口千人当たり)(e-Stat 0000010207 #G0430501)
07,福島県,14.0,2024,社会・人口統計体系 一般旅券発行件数(人口千人当たり)(e-Stat 0000010207 #G0430501)
08,茨城県,22.6,2024,社会・人口統計体系 一般旅券発行件数(人口千人当たり)(e-Stat 0000010207 #G0430501)
09,栃木県,20.3,2024,社会・人口統計体系 一般旅券発行件数(人口千人当たり)(e-Stat 0000010207 #G0430501)
10,群馬県,20.1,2024,社会・人口統計体系 一般旅券発行件数(人口千人当たり)(e-Stat 0000010207 #G0430501)
11,埼玉県,29.8,2024,社会・人口統計体系 一般旅券発行件数(人口千人当たり)(e-Stat 0000010207 #G0430501)
12,千葉県,32.5,2024,社会・人口統計体系 一般旅券発行件数(人口千人当たり)(e-Stat 0000010207 #G0430501)
13,東京都,50.9,2024,社会・人口統計体系 一般旅券発行件数(人口千人当たり)(e-Stat 0000010207 #G0430501)
14,神奈川県,39.3,2024,社会・人口統計体系 一般旅券発行件数(人口千人当たり)(e-Stat 0000010207 #G0430501)
15,新潟県,15.2,2024,社会・人口統計体系 一般旅券発行件数(人口千人当たり)(e-Stat 0000010207 #G0430501)
16,富山県,21.0,2024,社会・人口統計体系 一般旅券発行件数(人口千人当たり)(e-Stat 0000010207 #G0430501)
17,石川県,25.0,2024,社会・人口統計体系 一般旅券発行件数(人口千人当たり)(e-Stat 0000010207 #G0430501)
18,福井県,23.4,2024,社会・人口統計体系 一般旅券発行件数(人口千人当たり)(e-Stat 0000010207 #G0430501)
19,山梨県,23.8,2024,社会・人口統計体系 一般旅券発行件数(人口千人当たり)(e-Stat 0000010207 #G0430501)
20,長野県,20.8,2024,社会・人口統計体系 一般旅券発行件数(人口千人当たり)(e-Stat 0000010207 #G0430501)
21,岐阜県,24.4,2024,社会・人口統計体系 一般旅券発行件数(人口千人当たり)(e-Stat 0000010207 #G0430501)
22,静岡県,24.5,2024,社会・人口統計体系 一般旅券発行件数(人口千人当たり)(e-Stat 0000010207 #G0430501)
23,愛知県,33.2,2024,社会・人口統計体系 一般旅券発行件数(人口千人当たり)(e-Stat 0000010207 #G0430501)
24,三重県,24.5,2024,社会・人口統計体系 一般旅券発行件数(人口千人当たり)(e-Stat 0000010207 #G0430501)
25,滋賀県,31.6,2024,社会・人口統計体系 一般旅券発行件数(人口千人当たり)(e-Stat 0000010207 #G0430501)
26,京都府,35.9,2024,社会・人口統計体系 一般旅券発行件数(人口千人当たり)(e-Stat 0000010207 #G0430501)
27,大阪府,37.3,2024,社会・人口統計体系 一般旅券発行件数(人口千人当たり)(e-Stat 0000010207 #G0430501)
28,兵庫県,33.4,2024,社会・人口統計体系 一般旅券発行件数(人口千人当たり)(e-Stat 0000010207 #G0430501)
29,奈良県,31.3,2024,社会・人口統計体系 一般旅券発行件数(人口千人当たり)(e-Stat 0000010207 #G0430501)
30,和歌山県,22.1,2024,社会・人口統計体系 一般旅券発行件数(人口千人当たり)(e-Stat 0000010207 #G0430501)
31,鳥取県,18.4,2024,社会・人口統計体系 一般旅券発行件数(人口千人当たり)(e-Stat 0000010207 #G0430501)
32,島根県,14.6,2024,社会・人口統計体系 一般旅券発行件数(人口千人当たり)(e-Stat 0000010207 #G0430501)
33,岡山県,22.0,2024,社会・人口統計体系 一般旅券発行件数(人口千人当たり)(e-Stat 0000010207 #G0430501)
34,広島県,24.4,2024,社会・人口統計体系 一般旅券発行件数(人口千人当たり)(e-Stat 0000010207 #G0430501)
35,山口県,20.0,2024,社会・人口統計体系 一般旅券発行件数(人口千人当たり)(e-Stat 0000010207 #G0430501)
36,徳島県,19.5,2024,社会・人口統計体系 一般旅券発行件数(人口千人当たり)(e-Stat 0000010207 #G0430501)
37,香川県,20.8,2024,社会・人口統計体系 一般旅券発行件数(人口千人当たり)(e-Stat 0000010207 #G0430501)
38,愛媛県,18.8,2024,社会・人口統計体系 一般旅券発行件数(人口千人当たり)(e-Stat 0000010207 #G0430501)
39,高知県,16.3,2024,社会・人口統計体系 一般旅券発行件数(人口千人当たり)(e-Stat 0000010207 #G0430501)
40,福岡県,32.9,2024,社会・人口統計体系 一般旅券発行件数(人口千人当たり)(e-Stat 0000010207 #G0430501)
41,佐賀県,22.7,2024,社会・人口統計体系 一般旅券発行件数(人口千人当たり)(e-Stat 0000010207 #G0430501)
42,長崎県,20.1,2024,社会・人口統計体系 一般旅券発行件数(人口千人当たり)(e-Stat 0000010207 #G0430501)
43,熊本県,23.5,2024,社会・人口統計体系 一般旅券発行件数(人口千人当たり)(e-Stat 0000010207 #G0430501)
44,大分県,19.4,2024,社会・人口統計体系 一般旅券発行件数(人口千人当たり)(e-Stat 0000010207 #G0430501)
45,宮崎県,17.0,2024,社会・人口統計体系 一般旅券発行件数(人口千人当たり)(e-Stat 0000010207 #G0430501)
46,鹿児島県,15.3,2024,社会・人口統計体系 一般旅券発行件数(人口千人当たり)(e-Stat 0000010207 #G0430501)
47,沖縄県,29.8,2024,社会・人口統計体系 一般旅券発行件数(人口千人当たり)(e-Stat 0000010207 #G0430501)
