都道府県コード,都道府県名,値(%),調査年,出典
01,北海道,0.4,2021,社会生活基本調査 海外旅行の年間行動者率(10歳以上)(e-Stat 0000010207 #G043071)
02,青森県,0.2,2021,社会生活基本調査 海外旅行の年間行動者率(10歳以上)(e-Stat 0000010207 #G043071)
03,岩手県,0.2,2021,社会生活基本調査 海外旅行の年間行動者率(10歳以上)(e-Stat 0000010207 #G043071)
04,宮城県,0.3,2021,社会生活基本調査 海外旅行の年間行動者率(10歳以上)(e-Stat 0000010207 #G043071)
05,秋田県,0.5,2021,社会生活基本調査 海外旅行の年間行動者率(10歳以上)(e-Stat 0000010207 #G043071)
06,山形県,0.2,2021,社会生活基本調査 海外旅行の年間行動者率(10歳以上)(e-Stat 0000010207 #G043071)
07,福島県,0.2,2021,社会生活基本調査 海外旅行の年間行動者率(10歳以上)(e-Stat 0000010207 #G043071)
08,茨城県,0.6,2021,社会生活基本調査 海外旅行の年間行動者率(10歳以上)(e-Stat 0000010207 #G043071)
09,栃木県,0.4,2021,社会生活基本調査 海外旅行の年間行動者率(10歳以上)(e-Stat 0000010207 #G043071)
10,群馬県,0.2,2021,社会生活基本調査 海外旅行の年間行動者率(10歳以上)(e-Stat 0000010207 #G043071)
11,埼玉県,0.3,2021,社会生活基本調査 海外旅行の年間行動者率(10歳以上)(e-Stat 0000010207 #G043071)
12,千葉県,0.4,2021,社会生活基本調査 海外旅行の年間行動者率(10歳以上)(e-Stat 0000010207 #G043071)
13,東京都,0.4,2021,社会生活基本調査 海外旅行の年間行動者率(10歳以上)(e-Stat 0000010207 #G043071)
14,神奈川県,0.5,2021,社会生活基本調査 海外旅行の年間行動者率(10歳以上)(e-Stat 0000010207 #G043071)
15,新潟県,0.4,2021,社会生活基本調査 海外旅行の年間行動者率(10歳以上)(e-Stat 0000010207 #G043071)
16,富山県,0.3,2021,社会生活基本調査 海外旅行の年間行動者率(10歳以上)(e-Stat 0000010207 #G043071)
17,石川県,0.3,2021,社会生活基本調査 海外旅行の年間行動者率(10歳以上)(e-Stat 0000010207 #G043071)
18,福井県,0.4,2021,社会生活基本調査 海外旅行の年間行動者率(10歳以上)(e-Stat 0000010207 #G043071)
19,山梨県,0.2,2021,社会生活基本調査 海外旅行の年間行動者率(10歳以上)(e-Stat 0000010207 #G043071)
20,長野県,0.2,2021,社会生活基本調査 海外旅行の年間行動者率(10歳以上)(e-Stat 0000010207 #G043071)
21,岐阜県,0.4,2021,社会生活基本調査 海外旅行の年間行動者率(10歳以上)(e-Stat 0000010207 #G043071)
22,静岡県,0.3,2021,社会生活基本調査 海外旅行の年間行動者率(10歳以上)(e-Stat 0000010207 #G043071)
23,愛知県,0.4,2021,社会生活基本調査 海外旅行の年間行動者率(10歳以上)(e-Stat 0000010207 #G043071)
24,三重県,0.2,2021,社会生活基本調査 海外旅行の年間行動者率(10歳以上)(e-Stat 0000010207 #G043071)
25,滋賀県,0.6,2021,社会生活基本調査 海外旅行の年間行動者率(10歳以上)(e-Stat 0000010207 #G043071)
26,京都府,0.7,2021,社会生活基本調査 海外旅行の年間行動者率(10歳以上)(e-Stat 0000010207 #G043071)
27,大阪府,0.2,2021,社会生活基本調査 海外旅行の年間行動者率(10歳以上)(e-Stat 0000010207 #G043071)
28,兵庫県,0.6,2021,社会生活基本調査 海外旅行の年間行動者率(10歳以上)(e-Stat 0000010207 #G043071)
29,奈良県,0.2,2021,社会生活基本調査 海外旅行の年間行動者率(10歳以上)(e-Stat 0000010207 #G043071)
30,和歌山県,0.5,2021,社会生活基本調査 海外旅行の年間行動者率(10歳以上)(e-Stat 0000010207 #G043071)
31,鳥取県,0.4,2021,社会生活基本調査 海外旅行の年間行動者率(10歳以上)(e-Stat 0000010207 #G043071)
